NAME,IMO#,TYPE,GT,BUILT,FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL 
Tania,8501658,Fully Cellular Containership,10383.0,1986.0,St. Kitts-Nevis,Wan Hai Lines Limited ,Taiwan,Wan Hai Lines Limited ,Wan Hai Lines Singapore Private Limited ,Singapore,Chittagong,Bangladesh,2015-11-04
Wan He,8116661,Bulk Carrier,17770.0,1983.0,Panama ,Wan Jia International Shipping & Trading Limited  ,Hong Kong,Wan Jia International Shipping & Trading Limited  ,King Fortune Shipping Limited,Panama,Chittagong,Bangladesh,2015-06-11
Wei Fong,9113563,Bulk Carrier,38679.0,1994.0,Panama,Wei Fong Shipping Company Limited ,China,Wei Fong Shipping Company Limited ,Rei Fong Shipping Limited ,Panama,Gadani,Pakistan,2015-10-29
Tagus,8309579,Vehicle Carrier,48357.0,1985.0,Norway (Int. Register) ,Wilh. Wilhelmsen ASA ,Norway,Wilh. Wilhelmsen ASA ,Wilhelmsen Lines Shipowning AS  ,Norway,Jiangyin,China,2015-02-27
Tasco,8309581,Vehicle Carrier,48393.0,1985.0,Norway (Int. Register) ,Wilh. Wilhelmsen ASA ,Norway,Wilh. Wilhelmsen ASA ,Wilhelmsen Lines Shipowning AS,Norway,Jiangyin,China,2015-02-09
Fortune,8508412,Fully Cellular Containership,10524.0,1985.0,Sierra Leone ,Xixiakou Group Company Limited ,China,Xixiakou Group Company Limited ,Dongdu Shipping (HK) Company Limited ,Hong Kong,Alang,India,2015-12-01
Yong Long Jiu,8124319,Bulk Carrier,23609.0,1984.0,China ,Yangpu Chang Long Marine,China,Yangpu Chang Long Marine,Yangpu Chang Long Marine,China,Zhangjiagang,China,2015-05-24
Yong Long Fa,8124307,Bulk Carrier,23604.0,1984.0,China ,Yangpu Chang Long Marine  ,China,Yangpu Chang Long Marine  ,Yangpu Chang Long Marine  ,China,Zhangjiagang,China,2014-09-10
Zhe Hai 126,8507597,Bulk Carrier,14814.0,1985.0,China ,Zhejiang Shipping Group Company Limited  ,China,Zhejiang Shipping Group Company Limited  ,Wenzhou Shipping Company Limited  ,China,Zhoushan,China,2014-06-02
Chang Lin,8216837,Bulk Carrier,23715.0,1983.0,Panama ,Zheng Yang Shipping Limited   ,China, Zheng Yang Shipping Limited   ,Fan Stone Marine Limited,China,Chittagong,Bangladesh,2015-02-18
Zhong Chang 58,8511718,Bulk Carrier,15832.0,1985.0,China ,Zhoushan Zhongchang Shipping,China,Zhoushan Zhongchang Shipping,Zhoushan Zhongchang Shipping,China,Zhoushan,China,2014-09-24
Zhong Chang 68,8120703,Bulk Carrier,18121.0,1986.0,China ,Zhoushan Zhongchang Shipping  ,China,Zhoushan Zhongchang Shipping  ,Zhoushan Zhongchang Shipping  ,China,Wenzhou ,China,2014-12-10
Zhong Chang 88,8401303,Bulk Carrier,24536.0,1987.0,China ,Zhoushan Zhongchang Shipping  ,China,Zhoushan Zhongchang Shipping  ,Zhoushan Zhongchang Shipping  ,China,Ningde ,China,2014-11-26
