NAME,IMO#,TYPE,GT,BUILT,FLAG,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL 
Isti,9122203,Fully Cellular Containership,31207.0,1996.0,Tuvalu,Technomar Shipping Incorporated ,Greece,Technomar Shipping Incorporated ,Pisti Shipping LLC ,Panama,Alang,India,2015-03-16
Dimitris Y,9121247,Fully Cellular Containership,31131.0,1996.0,Liberia,Technomar Shipping Incorporated ,Greece,Technomar Shipping Incorporated ,Trieste Shipping S.A. ,Marshall Islands,Alang,India,2015-03-26
Angel,9045560,Bulk Carrier,81120.0,1993.0,Comoros ,The Angelicoussis Group,Greece,Anangel Maritime Services Incorporated  ,Splendour Special Maritime Enterprise,Greece,Gadani,Pakistan,2015-05-21
Ana,9039652,Bulk Carrier,81569.0,1993.0,Comoros ,The Angelicoussis Group  ,Greece,Anangel Maritime Services Incorporated  ,Nashwood Maritime Incorporated,Panama,Chittagong,Bangladesh,2015-04-03
Pride,9039640,Bulk Carrier,81569.0,1993.0,Palau ,The Angelicoussis Group  ,Greece,Anangel Maritime Services Incorporated  ,Lockheart Shipping Incorporated  ,Panama,Chittagong,Bangladesh,2015-04-07
El Omonia,9111955,Bulk Carrier,38859.0,1996.0,Kiribati ,The Angelicoussis Group  ,Greece,Anangel Maritime Services Incorporated  ,Baffin Sea Maritime Incorporated  ,Greece,Gadani,Pakistan,2015-05-08
Matrix,9102942,Bulk Carrier,79542.0,1996.0,Marshall Islands ,The Frangos-Moundreas Group,Greece,NGM Energy S.A.  ,Material Shipholding Incorporated,Marshall Islands,Chittagong,Bangladesh,2015-06-08
NGM Sailor,9122100,Bulk Carrier,85706.0,1996.0,Liberia ,The Frangos-Moundreas Group  ,Greece,NGM Energy S.A.  ,Nolana Navigation Corporation  ,Liberia,Chittagong,Bangladesh,2015-05-20
Nairobi,9064786,Fully Cellular Containership,28892.0,1995.0,Malta,The Libra Group ,United Kingdom,Lomar Shipping Limited ,Allocean Charters Private Limited ,UK,Alang,India,2015-01-08
Western Triumph,9030761,Bulk Ore Carrier,2768.0,1992.0,Papua New Guinea ,The Peninsular and Oriental Steam Navigation Company,United Kingdom,The Peninsular and Oriental Steam Navigation Company,P & O Maritime Services (PNG) Limited,Papua New Guinea,Chittagong,Bangladesh,2015-04-05
Western Zenith,9071492,Bulk Carrier,2768.0,1993.0,Papua New Guinea ,The Peninsular and Oriental Steam Navigation Company,United Kingdom,The Peninsular and Oriental Steam Navigation Company,P & O Maritime Services (PNG) Limited,Papua New Guinea,Chittagong,Bangladesh,2015-05-14
Vitality,9126778,Bulk Carrier,85711.0,1996.0,Niue,The Tung Group of Companies ,Hong Kong,Bao-Island Enterprises Limited ,Bernando Company Limited ,Hong Kong,Chittagong,Bangladesh,2015-11-22
Navigator,9126780,Bulk Carrier,85711.0,1997.0,Niue,The Tung Group of Companies ,Hong Kong,Bao-Island Enterprises Limited ,Margot Company Limited ,Hong Kong,Chittagong,Bangladesh,2015-11-30
Eva,8517994,Bulk Carrier,24236.0,1987.0,Malta ,Theodorides Group of Companies,Greece,Vulcanus Technical Maritime Enterprises S.A.,Sea Bay Shipping Limited,Malta,Alang,India,2015-05-07
Tian Sheng,8203593,Fully Cellular Containership,10544.0,1983.0,China ,Tianjin Marine Shipping Company Limited,China,Tianjin Marine Shipping Company Limited,Zhuhai Beiyang Shipping Company Limited,China,Unknown,China,2011-03-10
Yong Xu Hai ,8715302,Bulk Carrier,36120.0,1988.0,China ,Tianjin Younysun Shipping Group Company ,China,Tianjin Younysun Shipping Group Company ,Tianjin Younysun Shipping Group Company ,China,Xinhui,China,2015-06-28
Ismael Mehieddine,7616171,General Cargo With Container Capacity,6883.0,1976.0,Comoros ,Tomeh Shipping Company,Lebanon,Tomeh Shipping Company,Cedar Tree Company Limited ,Lebanon,Gadani,Pakistan,2015-05-02
Master Ismail,8202056,Bulk Carrier,15282.0,1982.0,Cook Islands ,Tomeh Shipping Company ,Lebanon,Tomeh Shipping Company ,Master Ismail Shipping Limited,Liberia,Gadani,Pakistan,2015-07-31
Marine 1,9039559,Roll On Roll Off,8308.0,1992.0,Togo ,Toyofuji Shipping Company Limited,Japan,Toyofuji Shipping Company Limited,Toyofuji Shipping Company Limited,Japan,Chittagong,Bangladesh,2015-09-01
Sera,8921793,Roll on Roll Off,5411.0,1991.0,Comoros ,Toyofuji Shipping Company Limited ,Japan,P.T. Toyofuji Serasi Indonesia (TFSI) ,P.T. Toyofuji Serasi Indonesia (TFSI) ,Indonesia,Chittagong,Bangladesh,2015-12-22
Bright,8118669,Bulk carrier,6694.0,1981.0,Cambodia,Trans Line Company Limited ,Russia,Trans Line Company Limited ,Golden Marine Limited ,Panama,Chittagong,Bangladesh,2015-01-15
Wizard,8510104,General Cargo,5545.0,1985.0,Cambodia,Trans Line Company Limited ,Russia,Trans Line Company Limited ,Atlas Pacific Shipping Company Limited ,Panama,Alang,India,2015-03-10
Progress,8400983,Bulk carrier,25169.0,1987.0,Palau,Trans Ocean Lines Limited ,Bangladesh,Trans Ocean Lines Limited ,Trans Ocean Ship Management Limited ,Bangladesh,Gadani,Pakistan,2015-01-09
Capricornio Gas,8011043,Liquid Petroleum Gas Carrier,3651.0,1980.0,Peru ,Transgas Shipping Lines SAC,Peru,Transgas Shipping Lines SAC,Transportadora de Hidrocarburos del Peru SAC  ,Peru,Santo Dominguo,Dominican Republic,2015-03-05
Sedco 710,8755182,Drill Platform,16386.0,1983.0,Liberia ,Transocean Incorporated,United States of America,Transocean Offshore Deepwater Drilling Incorporated  ,Transocean Drilling Offshore S.a.r.l.,Marshall Islands,Aliaga,Turkey,2015-06-24
GSF Arctic III,8751332,Drill Platform,14488.0,1980.0,Vanuatu ,Transocean Incorporated,United States of America,Transocean Offshore Deepwater Drilling Incorporated  ,Caledonia Offshore Drilling Services Limited,Vanuatu,Aliaga,Turkey,2015-07-27
J.W.McLean,8756318,Drill Platform,15453.0,1974.0,Marshall Islands ,Transocean Incorporated ,United States of America,Transocean Offshore Deepwater Drilling Incorporated ,,India,Aliaga,Turkey,2015-09-22
Transocean Amirante,8752582,Drill Platform,14648.0,1978.0,Vanuatu ,Transocean Incorporated ,United States of America,Transocean Onshore Support Services Limited ,Transocean Amirante Limited ,Cayman Islands,Aliaga,Turkey,2015-11-17
GSF Celtic Sea,8758067,Semi-sub Pontoon,28440.0,1982.0,Vanuatu ,Transocean Incorporated ,United States of America,Transocean Offshore Deepwater Drilling Incorporated ,Transocean Rig Services Offshore LLC ,United States of America,Aliaga,Turkey,2015-12-07
Maria Star,9080182,Bulk Carrier,25190.0,1995.0,Liberia ,Tsakos Shipping and Trading S.A. ,Greece,Tsakos Energy Navigation Limited (TEN),Putnam Shipping Corporation ,Liberia,Alang,India,2015-09-30
Hanji,9015539,Fully Cellular Containership,51754.0,1992.0,Comoros ,Tsakos Shipping and Trading S.A.  ,Greece,Tsakos Shipping and Trading S.A.  ,Euroreserve S.A.,Panama,Alang,India,2015-05-05
Cape Cathay,9043603,Bulk Carrier,77132.0,1993.0,Singapore,U-Ming Marine Transport Corporation ,Taiwan,U-Ming Marine Transport Corporation ,U-Ming Marine Transport Corporation ,Taiwan,Alang,India,2015-12-02
Mary,8307193,Bulk carrier,22361.0,1984.0,Sierra Leone,Unimed Navigation S.A. ,Greece,Unimed Navigation S.A. ,Mary K Shipping Company S.A. ,Romania,Alang,India,2015-02-22
Autoracer,9079200,Vehicle Carrier,9693.0,1994.0,Madeira ,United European Car Carriers AS  ,Norway,United European Car Carriers AS  ,United European Car Carriers (IOM) Limited ,Isle of Man,Grenaa,Denmark,2015-09-16
Al Wakrah,8307818,Bulk Carrier,23186.0,1984.0,Moldova ,United Group Enterprises,Egypt,United Group Enterprises,United Group Enterprises WLL  ,Qatar,Gadani,Pakistan,2015-01-16
Aman Trader,8906535,Bulk Carrier,28164.0,1990.0,St. Kitts-Nevis ,Universal Shipmanagement Corporation ,Greece,Universal Shipmanagement Corporation ,Ionian Marine Corporation,Marshall Islands,Chittagong,Bangladesh,2015-06-28
Hua Hui,8007224,Product Tanker,17277.0,1985.0,Panama ,Unknown owners,Unknown,Unknown owners,Hua Xiang Shipping Company Limited,Hong Kong,Chittagong,Bangladesh,2015-01-30
Chios Sunrise,9045584,Bulk Carrier,38891.0,1993.0,Bahamas ,Unknown owners,Unknown,Unknown owners,Charisma Shipmanagement S.A.,Marshall Islands,Chittagong,Bangladesh,2015-03-08
New Hope Star,8512932,Bulk Carrier,15834.0,1987.0,Panama ,Unknown owners,Unknown,Unknown owners,New Hope Star Company Limited,Marshall Islands,Chittagong,Bangladesh,2015-04-23
Eternity,8701480,Bulk Carrier,21399.0,1989.0,Liberia ,Unknown owners,Unknown,Unknown owners,Transbulk Shipping S.A.,Liberia,Chittagong,Bangladesh,2015-05-18
