IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,FLAG PRIOR LAST VOYAGE,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,Unnamed: 16,"*The data gathered by the NGO Shipbreaking Platform is sourced from different outlets and stakeholders, and is cross-checked whenever possible.
The data upon which this information is based is correct to the best of the Platform’s knowledge, and the Platform takes no responsibility for the accuracy of the information provided. 
The Platform will correct or complete data if any inaccuracy is signaled. All data which has been provided is publicly available and does not reveal any confidential business information."
6922262.0,SEA NASS,General Cargo Ship,1603.0,697.0,1969.0,Bahrain,,United Cement Co WLL,Bahrain,United Cement Co WLL,United Cement Co WLL,Bahrain,Alang,India,2024-11-01,,
9072226.0,JAHAN BROTHERS,Bulk Carrier,25899.0,8032.0,1994.0,Bangladesh,,Kabir Steel Re-Rolling Mills,Bangladesh,Brave Royal Ship Management,Maa Shipping Pvt Ltd,Bangladesh,Chittagong,Bangladesh,2024-02-01,,
9159438.0,KHADEEJAH JAHAN,Bulk Carrier,25074.0,6994.0,1997.0,Bangladesh,,Kabir Steel Re-Rolling Mills,Bangladesh,Brave Royal Ship Management,SR Shipping Ltd,Bangladesh,Chittagong,Bangladesh,2024-06-01,,
7924322.0,YAZ,General Cargo Ship,2023.0,1600.0,1981.0,Sierra Leone,,Farah Shipping Ltd,Belize,Farah Shipping Ltd,Farah Shipping Ltd,Belize,Aliaga,Turkey,2024-07-01,,
8101628.0,SOGDIANA,General Cargo Ship,1923.0,0.0,1982.0,Cameroon,,Boyd Lines Ltd,Belize,Boyd Lines Ltd,Boyd Lines Ltd,Belize,Aliaga,Turkey,2024-11-01,,
7380629.0,LEO,"FPSO, Oil",71176.0,23590.0,1975.0,St Kitts & Nevis,Singapore,BW Offshore Ltd,Bermuda,BW Offshore Holdings Pte Ltd,Tinworth Pte Ltd,Singapore,Alang,India,2024-04-01,,
8754059.0,A STAR,"Drilling Rig, semi Submersible",12727.0,14856.0,1983.0,St Kitts & Nevis,Liberia,Queiroz Galvao SA,Brazil,Petroleo Constellation SA,Olinda Star Ltd,British Virgin Islands,Alang,India,2024-11-01,,
8753378.0,KING MAKER,"Production Platform, semi submersible",8345.0,8800.0,1973.0,Panama,,Petroserv SA,Brazil,Petroserv SA,Petro Rio O&G Exploracao,Brazil,Aliaga,Turkey,2024-02-01,,
7711737.0,ALGOMA TRANSPORT,"Bulk Carrier, Self-discharging, Laker",23399.0,9148.0,1979.0,Canada,,Algoma Central Corp,Canada,Algoma Central Corp,Algoma Central Corp,Canada,Port Colborne,Canada,2024-01-01,,
7310260.0,ANCIER,Passenger/Ro-Ro Ship (Vehicles),11481.0,6283.0,1973.0,St Kitts & Nevis,Canada,CTMA,Canada,CTMA,Madeleine Navigation Inc,CTMA,Alang,India,2024-02-01,,
