Country of the beneficial owner,Beneficial owner of the ship,Name of ship,IMO number,Last flag,Flag changed for breaking,Date of change,Commercial Operator of the ship,Registered owner of the ship,Destination city,Destination country,Beaching date,Type of ship,Built in (y),Gross tonnage (GT)
China,China Shipping (Group) Company,Qing Hua Shan,8600791,China ,,,China Shipping Development Company Limited ,China Shipping Development Company Limited ,Zhangjiagang,China,2014-09-25 00:00:00,Bulk Carrier ,1987,39314
China,China Shipping (Group) Company,Mei Hua Ling,8715833,China ,,,Guangzhou Maritime Transport (Group) Company ,Guangzhou Maritime Transport (Group) Company ,Zhangjiagang,China,2014-01-25 00:00:00,Fully Cellular Containership ,1990,12844
China,China Shipping (Group) Company,Xian Xia Ling,9050539,China ,,,Guangzhou Maritime Transport (Group) Company ,Guangzhou Maritime Transport (Group) Company ,Zhangjiagang,China,2014-06-05 00:00:00,Fully Cellular Containership ,1993,13253
China,China Shipping (Group) Company,Feng Xiang Ling,9050541,China ,,,Guangzhou Maritime Transport (Group) Company ,Guangzhou Maritime Transport (Group) Company ,Zhangjiagang,China,2014-06-10 00:00:00,Fully Cellular Containership ,1994,13253
China,China Shipping (Group) Company ,Qing Quan Shan,8506191,China,,,China Shipping Development Company Limited ,China Shipping Development Company Limited Tramp Company ,Zhangjiagang,China,2014-09-26 00:00:00,Bulk Carrier,1986,41291
China,China Shipping (Group) Company ,Zhen Fen 6,8400713,China ,,,China Shipping Development Company Limited ,China Shipping Development Company Limited Tramp Company ,Zhangjiagang,China,2014-01-26 00:00:00,Bulk Carrier ,1984,12827
China,China Shipping (Group) Company ,Jin Pei,9039327,China ,,,China Shipping Development Company Limited ,Guangzhou Jinghai Shipping Company Limited ,Zhangjiagang,China,2014-05-23 00:00:00,Bulk Carrier ,1993,10904
China,China Shipping (Group) Company ,Ding He,9013397,China ,,,China Shipping Development Company Limited ,China Shipping Tanker Company Limited,Zhangjiagang,China,2014-03-23 00:00:00,Tanker ,1992,37835
China,China Shipping (Group) Company ,Yong An 2,9109718,Panama ,,,China Shipping (Hong Kong) Marine Company Limited ,Feng Huang Shan Shipping S.A. ,Zhangjiagang,China,2014-01-16 00:00:00,Bulk Carrier ,1995,26737
China,Dandong Yinhai Shipping Limited ,Bei Fang Ji Shun,7394371,China,,,Dandong Yinhai Shipping Limited ,Dandong Yinhai Shipping Limited ,Zhangjiagang,China,2014-08-12 00:00:00,Bulk Carrier,1975,35068
China,Dongguan Haichang Shipping Company Limited,Xin Dong Guan 2,8711100,China ,,,Dongguan Haichang Shipping Company Limited,Dongguan Haichang Shipping Company Limited,Zhangjiagang,China,2014-04-18 00:00:00,Bulk Carrier ,1989,36042
China,Fujian Guanhai Shipping Company Limited,Guan Hai 208,8812679,China ,,,Fujian Guanhai Shipping Company Limited,Fujian Guanhai Shipping Company Limited,Zhangjiagang,China,2014-07-01 00:00:00,Bulk Carrier ,1989,36741
China,Jiangsu Ocean Shipping Company Limited (JOSCO) ,Ji Fa,8914910,China,,,Jiangsu Ocean Shipping Company Limited (JOSCO) ,Jiangsu Ocean Shipping Company Limited (JOSCO) ,Zhangjiagang,China,2014-07-30 00:00:00,General Cargo With Container Capacity,1989,6319
China,Yantai Dahai Shipping Company Limited,Xiang Yun Hai,8113724,Cambodia ,,,Yantai Dahai Shipping Company Limited,Xiang Yun Hai Shipping Private Limited ,Zhangjiagang,China,2014-08-06 00:00:00,General Cargo,1982,3663
China,China Ocean Shipping (Group) Company (COSCO),Yu Lan Hai,8807210,China ,,,COSCO Bulk Carrier Company Limited,COSCO Bulk Carrier Company Limited,Zhoushan,China,2014-07-03 00:00:00,Bulk Carrier ,1991,35350
China,China Ocean Shipping (Group) Company (COSCO),Dong Qing Hai,8807208,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,Zhoushan,China,2014-05-22 00:00:00,Bulk Carrier ,1991,35350
China,China Ocean Shipping (Group) Company (COSCO),An Ze Jiang,8414958,China ,,,COSCO Shipping Company Limited (COSCOL),COSCO Shipping Company Limited (COSCOL),Zhoushan,China,2014-05-03 00:00:00,General Cargo With Container Capacity ,1988,11115
China,China Ocean Shipping (Group) Company (COSCO),Zhu Yuan,9014779,China ,,,Shenzhen COSCO LPG Shipping Company ,Shenzhen COSCO LPG Shipping Company ,Zhoushan,China,2014-06-30 00:00:00,Liquid Petroleum Gas Carrier ,1991,3376
China,China Ocean Shipping (Group) Company (COSCO) ,Gao He,8818740,China,,,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,Zhoushan,China,2014-09-25 00:00:00,Fully Cellular Containership,1990,37143
China,China Ocean Shipping (Group) Company (COSCO) ,Tuo Hai,8220216,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,Zhoushan,China,2014-06-23 00:00:00,Bulk Carrier ,1984,26959
China,China Ocean Shipping (Group) Company (COSCO) ,Teng Fei Hai,9056935,China ,,,"COSCO Bulk Carrier Company Limited 
","COSCO Bulk Carrier Company Limited 
",Zhoushan,China,2014-08-17 00:00:00,Bulk Carrier ,1995,38603
China,China Ocean Shipping (Group) Company (COSCO) ,Zhen He,9043627,China ,,,COSCO Container Lines Limited (COSCON) ,COSCO Container Lines Limited (COSCON) ,Zhoushan,China,2014-01-02 00:00:00,Fully Cellular Containership ,1993,49375
China,China Ocean Shipping (Group) Company (COSCO) ,Min He,8806096,China ,,,Shanghai Ocean Shipping Company Limited (COSCO Shanghai) ,Shanghai Ocean Shipping Company Limited (COSCO Shanghai) ,Zhoushan,China,2014-06-05 00:00:00,Fully Cellular Containership ,1989,37143
China,China Ocean Shipping (Group) Company (COSCO) ,Tai He,8705230,China ,,,Shanghai Panasia Shipping Company Limited ,Shanghai Panasia Shipping Company Limited ,Zhoushan,China,2014-03-10 00:00:00,Fully Cellular Containership ,1989,35963
China,China Shipping (Group) Company,An Ping 1,8720785,China ,,,China Shipping Development Company Limited ,"China Shipping Development Company Limited Tramp Company 
",Zhoushan,China,2014-07-25 00:00:00,Bulk Carrier ,1986,24489
China,China United Lines Limited,Lian Feng,8105985,China ,,,China United Lines Limited,China United Lines Limited,Zhoushan,China,2014-06-05 00:00:00,Fully Cellular Containership ,1985,6734
China,Fujian Province Xiamen Shipping Corporation ,Hei Bao Shi,8309256,China ,,,Fujian Province Xiamen Shipping Corporation ,Fujian Province Xiamen Shipping Corporation ,Zhoushan,China,2014-07-19 00:00:00,Bulk Carrier,1984,24676
China,Hainan Pan Ocean Shipping Company Limited,Xin Ying Wan,8814524,China ,,,Hainan Pan Ocean Shipping Company Limited,Hainan Pan Ocean Shipping Company Limited,Zhoushan,China,2014-06-04 00:00:00,Fully Cellular Containership ,1990,37193
China,Tianjin Tianhui Shipping Enterprises Company Limited,Fu Zhou Hai,9055981,China ,,,Tianjin Tianhui Shipping Enterprises Company Limited,Tianjin Tianhui Shipping Enterprises Company Limited,Zhoushan,China,2014-09-10 00:00:00,Bulk Carrier,1995,38712
Croatia,Anamila D.O.O. ,Lim,8407747,St. Vincent & Grenadines,,,Anamila D.O.O. ,Alpha Ocean Limited ,Alang,India,2014-12-04 00:00:00,Fully Cellular Containership,1984,8639
Cyprus,Interorient Navigation Company Limited ,Harmony,9137894,Cyprus,,,Interorient Marine Services Limited,Conti Credo Schiffahrts GmbH & Company KG ms 'Conti Harmony' ,Alang,India,2014-07-19 00:00:00,Fully Cellular Containership,1997,31207
Cyprus,Kotani Shipping Company Limited ,Finisterre,8710986,Liberia,,,Kotani Shipping Company Limited ,Finisterre Maritime Limited ,Alang,India,2014-04-15 00:00:00,Fully Cellular Containership,1991,29841
Cyprus,Louis plc ,Perin,8405842,Comoros,Liberia,2014-03-05 00:00:00,Louis plc ,Perla Navigation Limited ,Alang,India,2014-04-02 00:00:00,Tanker,1988,30831
Cyprus,Louis plc ,Cora,7046936,St. Kitts-Nevis,Malta,2014-01-23 00:00:00,Louis Cruises Limited ,New Wave Nav. S.A. ,Alang,India,2014-01-21 00:00:00,Passenger / Cruise,1971,13995
Cyprus,Sigma Grains Limited ,Adi I,7623100,Togo,,,Sigma Grains Limited ,Hyun Shipping Limited ,Alang,India,2014-05-20 00:00:00,Bulk carrier,1978,12034
Cyprus,Sigma Grains Limited ,Sam,7916454,Togo,,,Sigma Grains Limited ,Wendy Maritime Limited ,Alang,India,2014-04-24 00:00:00,Reefer,1980,3801
Cyprus,Deepdale Shipping Company Limited,Christy,9106508,St. Vincent & Grenadines ,,,Deepdale Shipping Company Limited,Go Green Holding Limited,Aliaga,Turkey,2014-06-27 00:00:00,Fully Cellular Containership ,1997,10925
Cyprus,Bulcom Limited ,Rayna,8107311,Comoros,,,Bulcom Limited ,Bulcom Limited ,Chittagong,Bangladesh,2014-02-16 00:00:00,Bulk carrier,1984,21551
Cyprus,SMT Shipmanagement & Transport Limited ,Pearl,7909877,St. Kitts-Nevis,Bahamas,2014-08-26 00:00:00,SMT Shipmanagement & Transport Limited ,Adriatic Pearl Shipping Company Limited ,Chittagong,Bangladesh,2014-08-28 00:00:00,General Cargo,1981,27069
Cyprus,Armikar Management Limited ,Roula,8110186,Tanzania,Panama,2014-03-05 00:00:00,Armikar Management Limited ,Bon Corporation ,Gadani,Pakistan,2014-09-21 00:00:00,Bulk carrier,1983,20487
Cyprus,Sadent Shipping Limited ,Sakhalin,8207745,Mongolia,,,Sadent Shipping Limited ,Emerald Shipping Limited,Gadani,Pakistan,2014-09-09 00:00:00,Bulk carrier,1984,16696
Cyprus,Essar Shipping & Logistics Limited ,Nand Kawas,8845793,India,,,Essar Shipping Ports and Logistics Limited (ESPLL) ,Essar Shipping Ports and Logistics Limited (ESPLL) ,Kolkata,India,2014-02-23 00:00:00,Bulk carrier,1992,1485
Czech Republic,Marco Shipping s.r.o. ,Siderfly,8412405,St. Vincent & Grenadines,,,Marco Shipping s.r.o. ,Deleclass Shipping Company Limited ,Grenaa,Denmark,2014-02-06 00:00:00,General Cargo,1985,2882
Denmark,Clipper Group,Clipper Concord,9232319,Bahamas,,,Clipper Projects A/S ,CMI-Crusader Limited ,Alang,India,2014-12-22 00:00:00,General Cargo,2000,6714
Denmark,Blue Line International Management ,Dalmatia,7516761,Cyprus,Panama,2014-04-01 00:00:00,Blue Line Europe ApS ,Blue Line International Incorporated,Alang,India,2014-10-20 00:00:00,Passenger,1978,12087
Denmark,Neva Shipping Company Limited,Arsenal,8620064,Russia ,,,Neva Shipping Company Limited,Erverton Ventures Limited ,Aliaga,Turkey,2014-06-04 00:00:00,General Cargo With Container Capacity ,1987,1434
Denmark,Shipping.dk A/S,SDK Spain,8602000,Denmark (Int. Register) ,,,Shipping.dk A/S,Shipping.dk A/S,Aliaga,Turkey,2014-09-30 00:00:00,General Cargo With Container Capacity ,1986,1525
Denmark,Mols-Linien A/S ,Mai Mols,9112997,Denmark,,,Mols-Linien A/S ,Mols-Linien A/S ,Fredrikshavn,Denmark,2014-02-27 00:00:00,Ferry,1996,3971
Denmark,J. Poulsen Shipping AS ,Pegasus,8108133,Curacao,,,J. Poulsen Shipping AS ,Pegasus Atlantic Trader ,Gadani,Pakistan,2014-05-07 00:00:00,General Cargo,1981,1161
Denmark,A.P. Moller-Maersk Group ,Maersk Gabarus,8204949,Canada,,,Maersk Supply Service A/S ,The Maersk Company (Canada) Limited ,Ghent,Belgium,2014-10-14 00:00:00,Tug/supply,1983,2769
Denmark,Erik B Vohnsen ,Lotte Vohnsen,7393676,Denmark,,,Erik B Vohnsen ,Lotte Vohnsen A/S ,Grenaa,Denmark,2014-11-24 00:00:00,Trawler,1975,594
Denmark,Norresundby Rederi ApS ,Nordvik,7704837,Faroe Islands,,,Norresundby Rederi ApS ,Sp/f Nordvik ,Grenaa,Denmark,2014-02-26 00:00:00,General Cargo,1978,2854
Denmark,A.P. Moller-Maersk Group,MCC Luzon,8900842,Philippines ,,,MCC Transport Philippines Incorporated ,MCC Transport Philippines Incorporated ,Jiangmen,China,2014-09-13 00:00:00,Fully Cellular Containership ,1992,9601
Dominica,Roly Marine,Dolphine,7617668,Cambodia ,,,Roly Marine,Roly Marine,Aliaga,Turkey,2014-05-12 00:00:00,General Cargo ,1976,6878
Egypt,El Amira Maritime Agencies Company ,Amira Mariam,8103195,Tuvalu,,,El Amira Maritime Agencies Company ,Yassin Logistics Company S.A. ,Alang,India,2014-03-26 00:00:00,Bulk carrier,1982,14330
Egypt,Mahoney Shipping & Marine Services Company,Egy Group,8907668,Tanzania ,Egypt,2014-05-19 00:00:00,Mahoney Shipping & Marine Services Company,United Group Shipping Company ,Aliaga,Turkey,2014-05-21 00:00:00,Fully Cellular Containership ,1990,5815
Egypt,Subsea Petroleum Services Free Zone ,Subsea 5,7504756,St. Kitts-Nevis ,,,Subsea Petroleum Services Free Zone ,Subsea Petroleum Services Free Zone ,Aliaga,Turkey,2014-10-08 00:00:00,Anchor Handling Fire Fighting Tug/Supply,1977,1194
Egypt,Unimar Shipping Management ,Uni-R,8113138,Tanzania ,,,Unimar Shipping Management ,Sea Brothers Shipping Lines Incorporated ,Aliaga,Turkey,2014-11-05 00:00:00,General Cargo With Container Capacity ,1983,5868
Egypt,El Amira Maritime Agencies Company ,Amira Diana,8306993,Tuvalu,,,El Amira Maritime Agencies Company ,Mariana Shipping Company S.A. ,Gadani,Pakistan,2014-11-28 00:00:00,Bulk carrier,1984,22215
Egypt,El-Amira For Maritime Agencies,Amira Nadia,8312057,Tuvalu,,,El-Amira For Maritime Agencies,Youssef Maritime Company S.A. ,Gadani,Pakistan,2014-08-09 00:00:00,Bulk carrier,1985,24705
Egypt,El-Amira For Maritime Agencies ,Amira Layan,8028723,Tuvalu,,,El-Amira For Maritime Agencies ,Yassin Maritime Company S.A. ,Gadani,Pakistan,2014-10-21 00:00:00,Bulk carrier,1984,22148
Egypt,Red Sea Navigation Company ,Rose of Sea,8306797,Panama,,,Red Sea Navigation Company ,Front Line Shipping Company S.A. ,Gadani,Pakistan,2014-10-08 00:00:00,Bulk carrier,1984,16983
Estonia,Baltic Maritime Logistics Group AS ,Kertu,9125683,Malta,Antigua & Barbuda,2014-05-22 00:00:00,Hansa Shipping OU ,HS Kertu OU ,Grenaa,Denmark,2014-12-01 00:00:00,General Cargo,1996,2844
France,CMA CGM S.A. ,Prosperity,8912754,St. Kitts-Nevis,Malta,2014-05-12 00:00:00,CMA CGM S.A. ,CMA CGM S.A. ,Alang,India,2014-07-24 00:00:00,Fully Cellular Containership,1994,9600
France,Compagnie Generale de Geophysique - Veritas S.A. ,Search,8014411,Norway,,,CGGVeritas Services (Norway) AS ,Exploration Vessel Resources AS ,Ghent,Belgium,2014-10-17 00:00:00,Seismographic Research,1982,4084
Germany,Brise Schiffahrts-GmbH ,Scorpio,9214575,Tuvalu,Liberia,2014-11-27 00:00:00,Brise Bereederungs GmbH & Company KG ,Schifffahrtsgesellschaft ms Falshoeft mbH & Company KG ,Alang,India,2014-11-27 00:00:00,General Cargo,2000,8861
Germany,Conti Holding GmbH & Company KG,Northern Delight,9082374,Liberia,,,NSB Niederelbe Schiffahrtsgesellschaft mbH & Company KG ,Beteiligungs KG ms Northern Delight Schiffahrtsges. mbH & Company,Alang,India,2014-04-06 00:00:00,Fully Cellular Containership,1994,19819
Germany,Conti Holding GmbH & Company KG ,Hong Kong  ,8808587,Marshall Islands,,,NSB Niederelbe Schiffahrtsgesellschaft mbH & Company KG ,Conti Condor Seetransporte GmbH & Company Reederei KG ms Conti Hong Kong ,Alang,India,2013-12-24 00:00:00,Fully Cellular Containership,1989,18000
Germany,Conti Holding GmbH & Company KG ,Rance,9124500,Sierra Leone,Liberia,2014-05-27 00:00:00,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Caressa Schiffahrts-GmbH & Company KG ms Conti Esperance ,Alang,India,2014-05-30 00:00:00,Fully Cellular Containership,1996,31730
Germany,Conti Holding GmbH & Company KG ,Fuji,9128207,Togo,,,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Crescendo Schiffsges. mbH & Company KG ms Conti Albany ,Alang,India,2014-06-07 00:00:00,Fully Cellular Containership,1997,31730
Germany,MPC Capital AG,Kyam,9005534,UK,,,Reederei Blue Star GmbH ,Jervis Star Schiffahrtsges. mbH & Company KG ,Alang,India,2014-02-05 00:00:00,Fully Cellular Containership,1991,50235
Germany,MPC Capital AG,Kadik,9001318,Liberia,,,Reederei Blue Star GmbH ,Honshu Star Schiffahrtsges. mbH & Company KG ,Alang,India,2014-01-18 00:00:00,Fully Cellular Containership,1995,56248
Germany,MPC Capital AG,Gato,8915689,Liberia,,,Reederei Blue Star GmbH ,Oceania Star Schiffahrtsges. mbH & Company KG ,Alang,India,2014-01-19 00:00:00,Fully Cellular Containership,1992,48508
Germany,MPC Capital AG,Hemol,9001253,Liberia,,,Reederei Blue Star GmbH ,Hong Kong Star Schiffahrtsges. mbH & Company KG ,Alang,India,2014-01-30 00:00:00,Fully Cellular Containership,1994,56248
Germany,MPC Capital AG,Ekali,8915677,Liberia,,,Reederei Blue Star GmbH ,America Star Schiffahrtsges. mbH & Company KG ,Alang,India,2014-01-31 00:00:00,Fully Cellular Containership,1992,48508
Germany,MPC Capital AG,Dabat,8915691,Liberia,,,Reederei Blue Star GmbH ,Europa Star Schiffahrtsges. mbH & Company KG ,Alang,India,2014-03-12 00:00:00,Fully Cellular Containership,1991,48508
Germany,MPC Capital AG,Baltario,8915706,Liberia,,,Reederei Blue Star GmbH ,Africa Blue Star Schiffahrtsges. mbH & Company KG ,Alang,India,2014-03-19 00:00:00,Fully Cellular Containership,1992,48508
Germany,MPC Capital AG,Patai,9005560,UK,,,Reederei Blue Star GmbH ,Singapore Star Schiffahrtsges. mbH & Company KG ,Alang,India,2014-01-18 00:00:00,Fully Cellular Containership,1993,50235
Germany,MPC Capital AG,Mekol,9005558,UK,,,Reederei Blue Star GmbH ,Newport Star Schiffahrtsges. mbH & Company KG ,Alang,India,2014-02-14 00:00:00,Fully Cellular Containership,1992,50350
Germany,MPC Capital AG,Otse,9080613,UK,,,Reederei Blue Star GmbH ,Providence Star Schiffahrtsges. mbh & Company KG ,Alang,India,2014-03-12 00:00:00,Fully Cellular Containership,1994,50350
Germany,MPC Capital AG,Repton,9079547,UK,,,Reederei Blue Star GmbH ,Shenzhen Star Schiffahrtsges. mbH & Company KG ,Alang,India,2014-03-16 00:00:00,Fully Cellular Containership,1994,50350
Germany,Gebab Konzeptions- und Treuhandgesellschaft mbH & Company KG ,Buxsailor,9070022,Liberia,,,Gebab Konzeptions- und Treuhandgesellschaft mbH & Company KG ,ms Contship Atlantic Bereederungs GmbH & Company Beteiligungs KG ,Alang,India,2014-03-24 00:00:00,Fully Cellular Containership,1993,16282
Germany,Hansa Mare Reederei GmbH & Company KG ,Hammonia Caspium,9110951,Liberia,,,Hansa Mare Reederei GmbH & Company KG ,Mare Caspium Schiffahrtsges. mbH & Company KG ,Alang,India,2014-05-13 00:00:00,Fully Cellular Containership,1995,29383
Germany,MarConsult Schiffahrt GmbH & Company KG ,Marca,9113458,St. Kitts-Nevis,Madeira/Malta /Antigua & Barbuda,2014-10-04 00:00:00,MarConsult Schiffahrt GmbH & Company KG ,MarCajama Schiffahrtsges. mbH & Company KG,Alang,India,2014-12-04 00:00:00,Fully Cellular Containership,1996,14473
Germany,Marine Service GmbH & Company KG ,Bella,7328243,Liberia,,,Chemikalien Seetransport GmbH ,Annabella Shipping Corporation,Alang,India,2014-04-16 00:00:00,Gas Carrier,1975,26951
Germany,Martime-Gesellschaft fur Maritime Dienstleistungen mbH ,Ingaz,9007099,Togo,Liberia,2014-05-19 00:00:00,Martime-Gesellschaft fur Maritime Dienstleistungen mbH ,KG MT Rheingas Schiffahrtsges. mbH & Company ,Alang,India,2014-06-04 00:00:00,Gas Carrier,1992,4200
Germany,Neu Seeschiffahrt GmbH ,Phyllis N.,8800274,Liberia,,,Neu Seeschiffahrt GmbH ,General Ore Carrier Corporation XV Limited ,Alang,India,2014-05-26 00:00:00,Bulk carrier,1990,154058
Germany,Norddeutsche Vermogen Holding GmbH & Company ,Pudong,9141261,Liberia,Germany,2013-11-22 00:00:00,Norddeutsche Vermogensanlage GmbH & Company KG ,Beteiligungs-KG ms Pudong Senator Schiffahrtsges. mbH & Company ,Alang,India,2014-01-29 00:00:00,Fully Cellular Containership,1997,53324
Germany,Ost-West-Handel und Schiffahrt GmbH ,Baltic Novator,8304529,Liberia,,,Ost-West-Handel und Schiffahrt GmbH ,Windline Maritime Corporation ,Alang,India,2014-07-03 00:00:00,Reefer,1984,11335
Germany,Ost-West-Handel und Schiffahrt GmbH ,Baltic Novel,7800588,St. Vincent & Grenadines,,,Ost-West-Handel und Schiffahrt GmbH ,Tarkenton Equities Limited ,Alang,India,2014-07-15 00:00:00,Reefer,1980,11392
Germany,Peter Dohle Schiffahrts-KG ,Tinka,9045077,Antigua & Barbuda,,,Peter Dohle Schiffahrts-KG ,Admiral Tinka Shipping Company Limited. ,Alang,India,2014-12-03 00:00:00,Fully Cellular Containership,1992,5006
Germany,Rickmers Reederei GmbH & Cie KG ,Berl,9106455,Comoros,Antigua & Barbuda,2014-07-26 00:00:00,Rickmers Reederei GmbH & Cie KG ,Reederei Antarctico ms Berulan GmbH & Company ,Alang,India,2014-08-12 00:00:00,Fully Cellular Containership,1995,8633
Germany,Rickmers Reederei GmbH & Cie KG ,Marie,9145061,Liberia,,,Rickmers Reederei GmbH & Cie KG ,ms Maria Rickmers GmbH & Cie ,Alang,India,2014-12-04 00:00:00,Bulk carrier,1999,22817
Germany,Rickmers Reederei GmbH & Cie KG ,Sophie,9131278,Liberia,,,Rickmers Reederei GmbH & Cie KG ,ms Sophie Rickmers Schiffsbeteiligungsges. mbH & Company,Alang,India,2014-11-21 00:00:00,General Cargo,1999,22817
Germany,Rickmers Reederei GmbH & Cie KG ,Santi,9080998,St. Kitts-Nevis,Marshall Islands,2014-03-02 00:00:00,Rickmers Reederei GmbH & Cie KG ,Schiffahrtsges. ms CCNI Chiloe mbH & Company KG ,Alang,India,2014-03-14 00:00:00,Fully Cellular Containership,1996,24046
Germany,Schiffahrts Investment 1,Justus,9108374,St. Kitts-Nevis,Marshall Islands,2014-07-09 00:00:00,Columbia Shipmanagement (Deutschland) GmbH ,Konig & Cie Zweite Schiffahrts ,Alang,India,2014-08-19 00:00:00,Fully Cellular Containership,1995,14241
Germany,Schoeller Holdings Limited ,Lius,9108362,St. Kitts-Nevis,Marshall Islands,2014-07-17 00:00:00,Columbia Shipmanagement (Deutschland) GmbH ,Konig & Cie. Erste Schiffahrts & Co. KG,Alang,India,2014-08-13 00:00:00,Fully Cellular Containership,1995,14241
Germany,Dr August Oetker KG ,Alianca Brasil,9000730,Liberia ,Brazil,2014-06-15 00:00:00,Hamburg Sudamerikanische Dampfschifffahrts-Gesellschaft KG ,Alianca Navegacao e Logistica Limitada & Cia,Aliaga,Turkey,2014-07-04 00:00:00,Fully Cellular Containership ,1994,28397
Germany,MPC Capital AG,Cashel,8915665,Liberia,,,Reederei Blue Star GmbH ,Asia Star Schiffahrtsges. mbH & Company KG ,Chittagong,Bangladesh,2014-02-03 00:00:00,Fully Cellular Containership,1991,48508
Germany,MPC Capital AG,Leuc,9005546,UK,,,Reederei Blue Star GmbH ,Repulse Star Schiffahrtsges. mbH & Company KG ,Chittagong,Bangladesh,2014-02-09 00:00:00,Fully Cellular Containership,1992,50350
Germany,MPC Capital AG,Sezze,9103037,UK,,,Reederei Blue Star GmbH ,Colombo Star Schiffahrtsges. mbH & Company KG ,Chittagong,Bangladesh,2014-03-23 00:00:00,Fully Cellular Containership,1995,50350
Germany,Harry Bröhan ,Munster,9131802,Antigua & Barbuda,,,Reederei Bröhan GmbH & Company KG ,ms Munster GmbH & Company KG ,Chittagong,Bangladesh,2014-03-11 00:00:00,Fully Cellular Containership,1996,9991
Germany,Herm Dauelsberg GmbH & Company KG,Altavia,9064322,Liberia,,,Herm Dauelsberg GmbH & Company KG,ms Altavia Schiffahrtsges. mbH & Company KG ,Chittagong,Bangladesh,2014-11-04 00:00:00,Fully Cellular Containership,1995,23691
Germany,Johann M.K. Blumenthal GmbH & Company KG Reederei ,Magdalene,8718134,Liberia,,,Johann M.K. Blumenthal GmbH & Company KG Reederei ,ms Magdalene Schiffahrtsgesellschaft mbH ,Chittagong,Bangladesh,2014-05-09 00:00:00,Bulk carrier,1989,77332
Germany,Schiffahrtskontor Tom Worden GmbH & Company KG ,Aron,9127019,St. Kitts-Nevis,Antigua & Barbuda,2014-11-29 00:00:00,Schiffahrtskontor Tom Worden GmbH & Company KG ,ms Maron Shipping GmbH & Company KG ,Chittagong,Bangladesh,2014-11-28 00:00:00,Fully Cellular Containership,1996,12029
Germany,AG Reederei Norden-Frisia ,Beaufort,8895097,Germany,,,AG Reederei Norden-Frisia ,Frisia-Offshore GmbH & Company KG ,Esbjerg,Denmark,2014-11-28 00:00:00,Buoy ship,1969,561
Germany,Conti Holding GmbH & Company KG ,Conti Wellington,9128180,Togo,Liberia,2014-04-14 00:00:00,Conti Reederei Management GmbH & Company Konzeptions KG ,Conti Container Schiffsges. mbH & Company KG ms Conti Wellington ,Gadani,Pakistan,2014-04-08 00:00:00,Fully Cellular Containership,1996,31730
Germany,MST Mineralien Schiffahrt Spedition und Transport GmbH,Jetta,9225122,Comoros,Liberia,2014-10-10 00:00:00,MST Mineralien Schiffahrt Spedition und Transport GmbH,Reederei ms Jutta GmbH & Company KG,Gadani,Pakistan,2014-10-14 00:00:00,Bulk carrier,2001,17671
Germany,Klaus Dieter Oelze Schiffahrts. GmbH & Company KG ,Hugo Chavez Frias,8417546,Panama,,,Klaus Dieter Oelze Schiffahrts. GmbH & Company KG ,Klaus Dieter Oelze Schiffahrts. GmbH & Company KG ,Grenaa,Denmark,2014-03-15 00:00:00,General Cargo,1984,1547
Germany,Solveig K GmbH & Company KG ,Solveig K.,7723687,Antigua & Barbuda,,,Solveig K GmbH & Company KG ,Solveig K GmbH & Company KG ,Grenaa,Denmark,2014-05-14 00:00:00,General Cargo,1978,1678
Germany,Hapag-Lloyd Aktiengesellschaft,New Orleans Express,8714229,UK,,,Hapag-Lloyd Aktiengesellschaft,Hapag-Lloyd Ships Limited,Jiangyin,China,2014-07-01 00:00:00,Fully Cellular Containership ,1989,35958
Germany,Reederei Jaegers GmbH ,Sturgeon,8700577,Netherlands,,,Chemgas Shipping B.V. ,Chemgas Shipping B.V. ,sGravendeel,Netherlands,2014-06-30 00:00:00,Gas carrier,1988,1605
Greece,Costamare Incorporated ,MSC Kyoto,7825411,Greece,,,Costamare Shipping Company S.A. ,Marvista Maritime Incorporated ,Alang,India,2014-07-14 00:00:00,Fully Cellular Containership,1981,43325
Greece,Costamare Incorporated ,Akritas,8703397,Hong Kong,,,Costamare Shipping Company S.A.,Grappa Shipping Company ,Alang,India,2014-09-04 00:00:00,Fully Cellular Containership,1987,42304
Greece,Costamare Incorporated ,Konstantina,8906755,Malta,,,Costamare Shipping Company S.A. ,Gavin Shipping Company ,Alang,India,2014-05-23 00:00:00,Fully Cellular Containership,1992,37209
Greece,Cyprus Sea Lines Company Limited ,CSL Ride,9005431,Cyprus,,,Cyprus Sea Lines Company Limited ,Sailway Marine Company Limited ,Alang,India,2014-08-10 00:00:00,Fully Cellular Containership,1996,29768
Greece,Danaos Corporation ,Commodore,9035981,Cyprus,,,Danaos Shipping Company Limited ,Commodore Marine Incorporated ,Alang,India,2014-04-29 00:00:00,Fully Cellular Containership,1992,51836
Greece,Danaos Corporation ,Duka,9035993,Cyprus,,,Danaos Shipping Company Limited ,Duke Marine Incorporated ,Alang,India,2014-05-12 00:00:00,Fully Cellular Containership,1992,51836
