Country of the beneficial owner,Beneficial owner of the ship,Name of ship,IMO number,Last flag,Flag changed for breaking,Date of change,Commercial Operator of the ship,Registered owner of the ship,Destination city,Destination country,Beaching date,Type of ship,Built in (y),Gross tonnage (GT)
China,SITC Maritime Group Company Limited ,Keelung,9088902,Tuvalu,Hong Kong,2014-09-24 00:00:00,SITC Maritime Group Company Limited ,SITC Keelung Shipping Company Limited ,Chittagong,Bangladesh,2014-09-24 00:00:00,Fully Cellular Containership,1994,9530
China,Wanzhou Shipping S.A. ,Xinhaizhou,8909903,Cambodia,,,Ever Maru Shipping Company Limited ,Ever Maru Shipping Company Limited ,Chittagong,Bangladesh,2014-07-06 00:00:00,Bulk carrier,1989,5391
China,Wanzhou Shipping S.A. ,Xin Hai Hao,8217336,Cambodia,,,Ever Maru Shipping Company Limited ,New Chang An International Shipping Company Limited ,Chittagong,Bangladesh,2014-07-05 00:00:00,Tanker,1984,9971
China,Winland Online Shipping Holdings Corporation ,Win Ever,8221375,Panama,,,Winland Shipping Company Limited ,Win Ever Shipping S.A. ,Chittagong,Bangladesh,2014-03-01 00:00:00,General Cargo,1983,5464
China,Winland Online Shipping Holdings Corporation ,Win Bright,8301292,Panama,,,Winland Shipping Company Limited ,Win Bright Shipping S.A.,Chittagong,Bangladesh,2014-05-03 00:00:00,General Cargo,1983,5464
China,Winning (HK) Shipping Company Limited ,Sunny Sailor,8818867,Panama,,,Winning (HK) Shipping Company Limited ,Sunny Sailor Shipping S.A. ,Chittagong,Bangladesh,2014-01-22 00:00:00,Bulk carrier,1990,77273
China,Winning (HK) Shipping Company Limited ,Winning Peace,8408375,Panama,,,Winning (HK) Shipping Company Limited ,Peaceful Shipping S.A. ,Chittagong,Bangladesh,2014-01-22 00:00:00,Bulk carrier,1985,93479
China,Winning (HK) Shipping Company Limited ,Sunny Voyager,8408404,Panama,,,Winning (HK) Shipping Company Limited ,Gleeful Shipping S.A. ,Chittagong,Bangladesh,2014-02-08 00:00:00,Bulk carrier,1985,72381
China,Yang Chun Ocean Shipping Company Limited ,Ang Quan,7620988,Panama,,,Yang Chun Ocean Shipping Company Limited ,Yang Chun Ocean Shipping Company Limited ,Chittagong,Bangladesh,2014-05-13 00:00:00,General Cargo,1977,11042
China,Yantai Shun Tong Shipping Company Limited ,Jutawan,7639070,Thailand,,,Yantai Shun Tong Shipping Company Limited ,Yantai Shun Tong Shipping Company Limited ,Chittagong,Bangladesh,2014-05-20 00:00:00,General Cargo,1977,1351
China,Zhonghang Maritime Service Company ,Xin Peng,8308965,Panama,,,Zhonghang Maritime Service Company ,Hong Kong Xinwang Shipping Limited ,Chittagong,Bangladesh,2014-10-28 00:00:00,Bulk carrier,1984,22143
China,China Ocean Shipping (Group) Company (COSCO) ,Sea Baisi,9125803,Panama ,,,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,Sea Baisi Maritime Incorporated ,Dalian,China,2014-10-08 00:00:00,Bulk Carrier,1997,17172
China,China Shipping (Group) Company,Da Qing 72,9040003,China ,,,China Shipping Development Company Limited ,China Shipping Tanker Company Limited ,Dalian,China,2014-03-27 00:00:00,Tanker,1995,21218
China,"China Ocean Shipping (Group) Company (COSCO) 
",Fei He,9060182,China ,,,COSCO Container Lines Limited (COSCON) ,COSCO Container Lines Limited (COSCON) ,Dalian ,China,2014-03-31 00:00:00,Fully Cellular Containership ,1994,48311
China,Fujian Shipping Company (FUSCO),Jin Pu,8316340,China ,,,Fujian Shipping Company (FUSCO),Fujian Shipping Company (FUSCO),Fuzhou,China,2014-05-15 00:00:00,Bulk Carrier ,1985,15786
China,Hebei Ocean Shipping Company Limited (HOSCO) ,Hebei Mountain,9082300,Hong Kong,,,Hebei Ocean Shipping Company Limited (HOSCO) ,Hebei Mountain Shipping Company Limited ,Gadani,Pakistan,2014-12-17 00:00:00,Tanker,1995,156303
China,Hongyuan Marine Company Limited ,Hong Hao,9073232,St. Vincent & Grenadines,,,Hongyuan Marine Company Limited ,Honghao Shipping Company Limited ,Gadani,Pakistan,2014-08-13 00:00:00,General Cargo,1994,21104
China,Jiangsu Huaxi Group Corporation,Golden Huaren,9009140,Panama,,,Jiangsu Steamship Company Limited ,Hong Yuan International Marine Transportation Company Limited ,Gadani,Pakistan,2014-09-05 00:00:00,Bulk carrier,1992,53827
China,Mentor Pacific Limited ,Jimei Ruyi,8811780,Panama,,,Mentor Pacific Limited ,Jimei Jixiang Shipping Limited ,Gadani,Pakistan,2014-10-06 00:00:00,Bulk carrier,1990,38022
China,New United Dalian Marine Service Company Limited ,Kai Tong,8321034,Panama,,,New United Dalian Marine Service Company Limited ,Fast Star Shipping Limited,Gadani,Pakistan,2014-08-23 00:00:00,Bulk carrier,1986,28739
China,Winning (HK) Shipping Company Limited ,Winner,8128717,Comoros,Panama,2014-03-28 00:00:00,Winning (HK) Shipping Company Limited ,Beautiful Shipping S.A. ,Gadani,Pakistan,2014-04-03 00:00:00,Bulk carrier,1984,74743
China,China Ocean Shipping (Group) Company (COSCO) ,An Ning Jiang,8400830,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,Huangpu,China,2014-09-15 00:00:00,General Cargo With Container Capacity ,1985,11505
China,China Ocean Shipping (Group) Company (COSCO) ,Bao Shan Hai,8919594,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,Jiangmen,China,2014-08-27 00:00:00,Bulk Carrier,1991,35842
China,China Ocean Shipping (Group) Company (COSCO) ,Tian Li Hai,9158812,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,Jiangmen,China,2014-08-25 00:00:00,Bulk Carrier ,1999,79480
China,China Ocean Shipping (Group) Company (COSCO) ,Sea Gloria,9057032,Panama ,,,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,Sea Glory Maritime Incorporated,Jiangmen,China,2014-04-10 00:00:00,Bulk Carrier ,1994,80203
China,China Ocean Shipping (Group) Company (COSCO,Xiang An Cheng,8316431,Panama ,,,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Jiangyin,China,2014-11-04 00:00:00,Fully Cellular Containership ,1985,12725
China,China Ocean Shipping (Group) Company (COSCO),Full Strong,9065388,Hong Kong ,,,COSCO (HK) Shipping Company Limited ,Full Strong Shipping Limited ,Jiangyin,China,2014-04-15 00:00:00,Bulk Carrier ,1994,36586
China,China Ocean Shipping (Group) Company (COSCO),Joyous Land,9047104,Hong Kong ,,,COSCO (HK) Shipping Company Limited ,Best Time Shipping Limited ,Jiangyin,China,2014-04-21 00:00:00,Bulk Carrier ,1994,35879
China,China Ocean Shipping (Group) Company (COSCO),Shekou Sea,9138927,Hong Kong ,,,COSCO (HK) Shipping Company Limited ,First Link Shipping Limited,Jiangyin,China,2014-06-24 00:00:00,Bulk Carrier ,1996,37846
China,China Ocean Shipping (Group) Company (COSCO),Matsuko,9184196,Panama ,,,COSCO Container Lines Limited (COSCON) ,North Star Shipholding Limited S.A.,Jiangyin,China,2014-06-02 00:00:00,Fully Cellular Containership ,1999,8957
China,China Ocean Shipping (Group) Company (COSCO) ,Fu Ning Hai,8301371,China,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,Jiangyin,China,2014-12-11 00:00:00,Bulk Carrier,1984,27491
China,China Ocean Shipping (Group) Company (COSCO) ,Hai An Cheng,9063263,China,,,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Jiangyin,China,2014-12-20 00:00:00,Bulk Carrier,1995,16801
China,China Ocean Shipping (Group) Company (COSCO) ,Jin An Cheng,8919544,China,,,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Jiangyin,China,2014-08-08 00:00:00,General Cargo With Container Capacity,1992,16703
China,China Ocean Shipping (Group) Company (COSCO) ,Full Rich,9074066,Hong Kong ,,,COSCO (HK) Shipping Company Limited,Gatwick Shipping Limited,Jiangyin,China,2014-04-23 00:00:00,Bulk Carrier ,1995,24055
China,China Ocean Shipping (Group) Company (COSCO) ,Xuchanghai,9158379,Panama ,,,COSCO Bulk Carrier Company Limited ,Xuchanghai Shipping Incorporated ,Jiangyin,China,2014-12-18 00:00:00,Bulk Carrier,1997,18074
China,China Ocean Shipping (Group) Company (COSCO) ,Sea Baisen,9125815,Panama ,,,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,Xin Zhen Hai Shipping Company Limited ,Jiangyin,China,2014-08-20 00:00:00,Bulk Carrier,1998,17172
China,China Ocean Shipping (Group) Company (COSCO) ,Jin Pu Hai,9156125,Panama ,,,COSCO Bulk Carrier Company Limited ,Jinpuhai Shipping Incorporated ,Jiangyin,China,2014-11-13 00:00:00,Bulk Carrier ,1996,38559
China,China Ocean Shipping (Group) Company (COSCO) ,Takeko,9184201,Panama ,,,COSCO Container Lines Limited (COSCON) ,North Star Shipholding Limited S.A. ,Jiangyin,China,2014-06-02 00:00:00,Fully Cellular Containership ,1999,8957
China,China Ocean Shipping (Group) Company (COSCO) ,Umeko,9184213,Panama ,,,COSCO Container Lines Limited (COSCON) ,North Star Shipholding Limited S.A. ,Jiangyin,China,2014-06-12 00:00:00,Fully Cellular Containership ,1999,8957
China,China Ocean Shipping (Group) Company (COSCO) ,Ziyahe,9122629,Panama ,,,Shanghai Ocean Shipping Company Limited (COSCO Shanghai) ,Ziyahe Shipping Incorporated ,Jiangyin,China,2014-09-08 00:00:00,Fully Cellular Containership ,1996,9471
China,China Ocean Shipping (Group) Company (COSCO) ,Bao An Cheng,8316443,Panama ,,,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Xiamen Ocean Shipping Company (COSCO Xiamen) ,Jiangyin,China,2014-08-23 00:00:00,General Cargo With Container Capacity,1985,12725
China,"China Ocean Shipping (Group) Company (COSCO) 
",Tai Gu Hai,8318300,China ,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,Jiangyin,China,2014-11-19 00:00:00,Bulk Carrier,1985,22050
China,China Shipping (Group) Company,Zhen Fen 9,8400749,China ,,,China Shipping Development Company Limited ,China Shipping Development Company Limited Tramp Company,Jiangyin,China,2014-04-30 00:00:00,Bulk Carrier ,1985,12827
China,China Shipping (Group) Company,Ba Da Ling,8601305,China ,,,China Shipping International Intermodal Company Limited ,China Shipping International Intermodal Company Limited ,Jiangyin,China,2014-05-20 00:00:00,Bulk Carrier ,1985,12863
China,China Shipping (Group) Company,Xiang Jin,8884402,China ,,,China Shipping Container Lines Company Limited,China Shipping Container Lines Company Limited,Jiangyin,China,2014-04-24 00:00:00,Bulk Carrier With Container Capacity ,1993,13253
China,China Shipping (Group) Company,Xiang Ping,9073971,China ,,,China Shipping Container Lines Company Limited ,China Shipping Container Lines Company Limited ,Jiangyin,China,2014-04-24 00:00:00,General Cargo With Container Capacity ,1995,13396
China,China Shipping (Group) Company,Ming He,9042178,China ,,,China Shipping Development Company Limited ,China Shipping Tanker Company Limited ,Jiangyin,China,2014-11-11 00:00:00,Product Tanker ,1993,38548
China,China Shipping (Group) Company ,Zhen Fen 5,8400701,China ,,,China Shipping Development Company Limited ,China Shipping Development Company Limited Tramp Company ,Jiangyin,China,2014-01-24 00:00:00,Bulk Carrier ,1984,12827
China,China Shipping (Group) Company ,Zhen Fen 7,8400725,China ,,,China Shipping Development Company Limited ,China Shipping Development Company Limited Tramp Company ,Jiangyin,China,2014-03-15 00:00:00,Bulk Carrier ,1985,12827
China,China Shipping (Group) Company ,An Ping 2,8720797,China ,,,China Shipping Development Company Limited ,China Shipping Development Company Limited Tramp Company ,Jiangyin,China,2014-04-10 00:00:00,Bulk Carrier ,1986,24489
China,China Shipping (Group) Company ,Ding Hu Shan,8827466,China ,,,"China Shipping Development Company Limited 
",China Shipping Development Company Limited Tramp Company ,Jiangyin,China,2014-03-15 00:00:00,Bulk Carrier ,1986,24008
China,China Shipping (Group) Company ,Yin Peng,8901781,China ,,,Shanghai Time Shipping Company Limited ,Shanghai Time Shipping Company Limited ,Jiangyin,China,2014-05-28 00:00:00,Bulk Carrier ,1989,25891
China,China Shipping (Group) Company ,Hua Guang,8103248,China ,,,China Shipping Development Company Limited ,China Shipping Development Company Limited Tramp Company,Jiangyin,China,2014-06-04 00:00:00,Bulk Carrier ,1982,23436
China,China Shipping (Group) Company ,Dan Chi,9107552,China ,,,China Shipping Development Company Limited ,China Shipping Development Company Limited ,Jiangyin,China,2014-02-24 00:00:00,Product Tanker ,1994,22596
China,China Shipping (Group) Company ,Tai Chuan,9086875,China ,,,China Shipping Development Company Limited ,China Shipping Tanker Company Limited ,Jiangyin,China,2014-02-25 00:00:00,Product Tanker ,1995,7974
China,China Shipping (Group) Company ,Yong An 3,9109720,Panama ,,,China Shipping (Hong Kong) Marine Company Limited ,Wu Tai Shan Shipping S.A. ,Jiangyin,China,2014-01-24 00:00:00,Bulk Carrier ,1996,26737
China,Fujian Shipping Company (FUSCO) ,Hua Ning,8521000,China ,,,Fujian Shipping Company (FUSCO) ,Hainan Tongli Shipping Company Limited ,Jiangyin,China,2014-11-25 00:00:00,Bulk Carrier ,1986,16502
China,Shandong Shipping Company Limited,Yun Tong,8004650,Panama ,,,Da Tong Shipping S.A. ,Yun Tong Shipping S.A.,Jiangyin,China,2014-01-04 00:00:00,Bulk Carrier ,1982,34407
China,Shenzhen Shekou Shipping & Transportation Company Limited,Xian Hu,8404381,China ,,,Shenzhen Shekou Shipping & Transportation Company Limited,Shenzhen Shekou Shipping & Transportation Company Limited,Jiangyin,China,2014-06-09 00:00:00,General Cargo ,1984,5235
China,Sinotrans Sunny Express Company Limited,Zhong Wai Yun Yingkou,8302167,China ,,,Sinotrans Sunny Express Company Limited,Sinotrans Sunny Express Company Limited,Jiangyin,China,2014-05-25 00:00:00,Fully Cellular Containership ,1991,30509
China,China Shipping (Group) Company,Ping Chuan,9086887,China ,,,China Shipping Development Company Limited ,China Shipping Tanker Company Limited ,Jingjiang,China,2014-01-22 00:00:00,Product Tanker ,1995,7974
China,China Ocean Shipping (Group) Company (COSCO) ,Jia Li Hai,8903349,China,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,Liuheng,China,2014-01-01 00:00:00,Bulk Carrier,1991,36986
China,China Ocean Shipping (Group) Company (COSCO),Feng Kang Shan,8400610,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,Ningde,China,2014-08-29 00:00:00,General Cargo With Container Capacity ,1985,614
China,China Ocean Shipping (Group) Company (COSCO) ,Long He,9058397,China ,,,Shanghai Panasia Shipping Company Limited,Shanghai Panasia Shipping Company Limited,Ningde,China,2014-01-24 00:00:00,Fully Cellular Containership ,1994,9951
China,China Ocean Shipping (Group) Company (COSCO) ,Fu Yuan Shan,8400490,China ,,,COSCO Shipping Company Limited (COSCOL),COSCO Shipping Company Limited (COSCOL),Ningde,China,2014-05-07 00:00:00,General Cargo With Container Capacity ,1985,13482
China,China Ocean Shipping (Group) Company (COSCO) ,An Kang Jiang,8400816,China ,,,COSCO Shipping Company Limited (COSCOL) ,COSCO Shipping Company Limited (COSCOL) ,Ningde,China,2014-01-09 00:00:00,General Cargo With Container Capacity ,1985,11495
