IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,CHANGE OF FLAG FOR BREAKING,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,COMMENT,Unnamed: 17,Unnamed: 18
9129940,SPLENDOUR EMERALD,Chemical/Products Tanker,28357,9696.0,1998,Panama,,Shan Ship Management Pvt Ltd,India,Shan Ship Management Pvt Ltd,Splendour Marine Services Ltd,Marshall Islands,Gadani,Pakistan,2021-06-01,,,
9191797,TAG 16,Anchor Handling Tug Supply,1734,1472.0,1999,St Kitts & Nevis,India,Tag Offshore Ltd,India,Tag Offshore Ltd,Tag Offshore Ltd,India,Alang,India,2021-06-01,,,
9169354,TAG 19,Anchor Handling Tug Supply,1974,1944.0,1998,St Kitts & Nevis,India,Tag Offshore Ltd,India,Tag Offshore Ltd,Tag Offshore Ltd,India,Alang,India,2021-06-01,,,
9126039,T 20,Platform Supply Ship,3603,2506.0,1996,St Kitts & Nevis,India,Tag Offshore Ltd,India,Tag Offshore Ltd,Tag Offshore Ltd,India,Alang,India,2021-06-01,,,
9149457,STAG,Anchor Handling Tug Supply,1974,1960.0,1997,St Kitts & Nevis,India,Tag Offshore Ltd,India,Tag Offshore Ltd,Tag Offshore Ltd,India,Alang,India,2021-06-01,,,
9180920,BULL SULAWESI,Crude/Oil Products Tanker,61764,19601.0,1999,Indonesia,,Buana Lintas Lautan Tbk PT,Indonesia,Gemilang Bina Lintas Tirta PT,Nusa Bhakti Jayaraya PT,Indonesia,Chittagong,Bangladesh,2021-06-01,,,
9154608,KT 02,Bulk Carrier,25982,7456.0,1998,Indonesia,,Karya Tehnik Operator,Indonesia,Karya Sumber Energy PT,Karya Tehnik Operator,Indonesia,Chittagong,Bangladesh,2021-06-01,,,
9173642,OCEAN LILA,Crude Oil Tanker,58374,17124.0,1999,Comoros,Indonesia,Soechi Group PT,Indonesia,Soechi Group PT,Lintas Samudra Maritim,Indonesia,Chittagong,Bangladesh,2021-06-01,,,
9179878,K LINE 1,Ro-Ro Cargo Ship,6749,4080.0,1997,Comoros,Korea (South),K Line Group,Japan,Jeju K Line Co Ltd,Jeju K Line Co Ltd,Korea (South),Chittagong,Bangladesh,2021-06-01,,,
8817100,SEA CRUISER 1,Vehicles Carrier,7694,,1989,Panama,,Toyofuji Shipping Co Ltd,Japan,Toyofuji Shipping Co Ltd,Feng Li Maritime Corp,Panama,Aliaga,Turkey,2021-06-01,,,
