IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,CHANGE OF FLAG FOR BREAKING,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,COMMENT,Unnamed: 17,Unnamed: 18
8125832,MEDITERRANEAN ENERGY,LNG Tanker,102376,32001.0,1984,Marshall Islands,,Sinokor Merchant Marine Co Ltd,Korea (South),Xiang CH9 HK International,Xiang CH9 HK International,Hong Kong,Chittagong,Bangladesh,2021-07-01,,,
8215455,VOS PROTECTOR,Standby Safety Vessel,673,,1983,United Kingdom,,Vroon Offshore BV,Netherlands,Vroon Offshore Services Ltd,Offshore Support Vessels VI,United Kingdom,Esbjerg,Denmark,2021-07-01,,,
7412020,EIDE FIGHTER,Anchor Handling Tug Supply,1388,,1975,Norway,,Eide Marine Group AS,Norway,Eide Marine Services AS,Eide Marine Tugs AS,Norway,Esbjerg,Denmark,2021-07-01,,,
9001904,GREEN KLIPPER,Refrigerated Cargo Ship,4091,2494.0,1991,Bahamas,,Green Reefers,Norway,GreenSea Chartering BVBA,Green Shipping AS,Norway,Alang,India,2021-07-01,,,
9001916,GREEN OCEAN,Refrigerated Cargo Ship,4091,2494.0,1992,Bahamas,,Green Reefers,Norway,GreenSea Chartering BVBA,Green Shipping AS,Norway,Alang,India,2021-07-01,,,
9172870,BETTY KNUTSEN,Shuttle Tanker,24185,11026.0,1999,Norway (Nis),,Knutsen NYK Offshore Tankers,Norway,Knutsen Shuttle Tankers 3 AS,Knutsen Shuttle Tankers 3 AS,Norway,Aliaga,Turkey,2021-07-01,,,
9008627,GEM,Chemical Tanker,4984,3050.0,1990,St Kitts & Nevis,Panama,Trump Marine SA,Panama,Trump Marine SA,Trump Marine SA,Panama,Alang,India,2021-07-01,,,
8217051,ST JOHN,Ro-Ro Cargo Ship,19317,9364.0,1984,Comoros,Philippines,Negros Navigation Co Inc,Philippines,Negros Navigation Co Inc,2GO Group Inc,Philippines,Chittagong,Bangladesh,2021-07-01,,,
7636614,KAPITAN PONIKAROVSKIY,Products Tanker,5083,3423.0,1979,Russia,,Kontur-SPB OOO,Russia,Kontur-SPB OOO,Kontur-SPB OOO,Russia,Chittagong,Bangladesh,2021-07-01,,,
8704913,YASON,Products Tanker,2894,1706.0,1988,Sierra Leone,Russia,Morskoy Standart,Russia,Morskoy Standart,Morskoy Standart,Russia,Alang,India,2021-07-01,,,
8131661,OSTROVNOY-11,Fish Factory Ship,3965,3381.0,1981,Mongolia,Russia,Ostrovnoy Rybokombinat OOO,Russia,Ostrovnoy Rybokombinat OOO,Ostrovnoy Rybokombinat OOO,Russia,Alang,India,2021-07-01,,,
8747989,SSK-3,Fishing Vessel,1007,,1987,Russia,,Sayra Co Ltd,Russia,Sayra Co Ltd,Sayra Co Ltd,Russia,Kaohsiung,Taiwan,2021-07-01,,,
8106446,PACIFIC B,"Heavy Load Carrier, semi submersible",29233,15931.0,1983,Palau,Hong Kong,Singunion Shipping Pte Ltd,Singapore,Singunion Shipping Pte Ltd,HYH Shipping Co Ltd,Hong Kong,Chittagong,Bangladesh,2021-07-01,,,
9146039,THERESA TIGA,Chemical/Products Tanker,12148,5969.0,1996,Tuvalu,,Wilmar Ship Holdings Pte Ltd,Singapore,Raffles Shipmanagement Serv,Nelina Shipping Co Pte Ltd,Singapore,Alang,India,2021-07-01,,,
8106068,BALA,Rail Vehicles Carrier,24201,12072.0,1982,Comoros,Singapore,Xihe Holdings Pte Ltd,Singapore,Seabulk Fleet Management LLC,Gulf South Shipping Pte Ltd,Singapore,Alang,India,2021-07-01,,,
9218014,BAY 1,Vehicles Carrier,9600,5005.0,2001,Tuvalu,Portugal,Suardiaz Vapores SA,Spain,Flota Suardiaz SL,Flota Suardiaz SL,Spain,Chittagong,Bangladesh,2021-07-01,"Before demolition, this unit was briefly owned by UAE-based company Beacon & Bay Shipping Services.",,
8517114,ZHONG,Products Tanker,10949,5980.0,1988,Comoros,Sierra Leone,Fresh Aurora Ltd,Taiwan,Fresh Aurora Ltd,Fresh Aurora Ltd,Seychelles,Chittagong,Bangladesh,2021-07-01,,,
9059688,ORIENT WELL,Chemical/Products Tanker,11324,5218.0,1998,Panama,,Mega Glory Holdings Ltd-BVI,Taiwan,Mega Glory Holdings Ltd-BVI,Excel Sail International Ltd,Samoa,Chittagong,Bangladesh,2021-07-01,,,
8609840,ROYAL COOP,Products Tanker ,4007,2263.0,1986,Panama,,Zheng Yu Shipping Co Ltd,Taiwan,Winson Oil Bunkering Pte Ltd,Cosmic View Ltd,British Virgin Islands,Chittagong,Bangladesh,2021-07-01,,,
9078816,B. P. P. 26,Products Tanker,1368,1114.0,1993,Thailand,,BPP Supply Co Ltd,Thailand,BPP Supply Co Ltd,BPP Supply Co Ltd,Thailand,Chittagong,Bangladesh,2021-07-01,,,
8006103,HARIN TRANSPORT 17,General Cargo Ship,1165,798.0,1980,Thailand,,Harinsuit Transport Co Ltd,Thailand,Harinsuit Transport Co Ltd,Harinsuit Transport Co Ltd,Thailand,Chittagong,Bangladesh,2021-07-01,,,
9002623,DARING,"FSO, Oil",158475,40970.0,1994,Gabon,Thailand,Nathalin Co Ltd,Thailand,Nathalin Shipping Pte Ltd,Nathalin Shipping Pte Ltd,Thailand,Chittagong,Bangladesh,2021-07-01,,,
8111831,SABAHAT TELLI,Chemical/Products Tanker,2866,2167.0,1982,Turkey,,Gemiciler Denizcilik Sanayi,Turkey,Gemiciler Denizcilik Sanayi,Gemiciler Denizcilik Sanayi,Turkey,Aliaga,Turkey,2021-07-01,,,
9111175,EMINENCE I,Products Tanker,28341,10589.0,1996,Panama,,Kader Management & Shipping Co,United Arab Emirates,Kader Management & Shipping Co,Magic Shine/Nimble Shipping,Marshall Islands,Gadani,Pakistan,2021-07-01,,,
8406456,SACOOR,Products Tanker,3198,1200.0,1983,Tanzania (Zanzibar),,Overseas Petroleum & Shipping,United Arab Emirates,Blue Ocean Consultancy DWC LLC,Sacoor Ship Management Inc,Marshall Islands,Gadani,Pakistan,2021-07-01,,,
9192753,DUBRA,Products Tanker,23843,8392.0,1999,Panama,,Pentacontinent DMCC,United Arab Emirates,Pentacontinent DMCC,Dubra Ltd,Liberia,Gadani,Pakistan,2021-07-01,,,
9150767,MR NAUTILUS,Chemical/Products Tanker,26794,10650.0,1998,Cameroon,,Sun Marine FZC,United Arab Emirates,Sun Marine FZC,Curia Ltd,Hong Kong   ,Gadani,Pakistan,2021-07-01,,,
9427378,RICHARD,Anchor Handling Tug Supply,2465,,2010,Niue,Vanuatu,Tidewater Marine LLC,United States Of America,Tidewater Marine LLC,Middle East Ships Ltd,Cayman Islands,Busan,Korea (South),2021-07-01,,,
7405077,SENTINEL,General Cargo Ship,1861,,1975,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Genova,Italy,2021-07-01,,,
8014758,DREAMER,"FSO, Oil",25574,9624.0,1982,Liberia,,Unknown,Unknown,Marvel Management SA FZE,Dreamland Maritime SA,Liberia,Gadani,Pakistan,2021-07-01,,,
7700726,RIN,"Bulk Carrier, Self-discharging",50046,18904.0,1979,St Kitts & Nevis,Venezuela,CVG Ferrominera Orinoco CA,Venezuela,Unknown,CVG Ferrominera Orinoco CA,Venezuela,Gadani,Pakistan,2021-07-01,,,
9212474,DAI,Products Tanker ,28522,9372.0,2000,St Kitts & Nevis,Vietnam,VIMC,Vietnam,VOSCO,VOSCO,Vietnam,Chittagong,Bangladesh,2021-07-01,,,
8109101,NORDAN,General Cargo Ship,2584,1470.0,1982,Cameroon,,Tursir Marine & Trade Co SA,Belize,Tursir Marine & Trade Co SA,Tursir Marine & Trade Co SA,Belize,Gadani,Pakistan,2021-08-01,,,
8765230,NOBLE JIM DAY,"Drilling Rig, semi Submersible",39831,33657.0,1999,Liberia,,Borr Drilling Ltd,Bermuda,Noble Drilling Services Inc,Noble Bob Douglas LLC,United States Of America,Aliaga,Turkey,2021-08-01,,,
8768414,WEST TAURUS,"Drilling Rig, semi Submersible",30147,39500.0,2008,Panama,,SFL Corporation Ltd,Bermuda,PETROBRAS,SFL Deepwater Ltd,Bermuda,Aliaga,Turkey,2021-08-01,,,
7912408,DELTA REEFER,Refrigerated Cargo Ship,2242,1161.0,1980,Dominica,,Croftec Ventures Ltd,British Virgin Islands,Croftec Ventures Ltd,Croftec Ventures Ltd,British Virgin Islands,Aliaga,Turkey,2021-08-01,,,
9113109,OCEAN PORPOISE,Products Tanker,7441,3498.0,1996,Sierra Leone,,Prospera Ocean International,British Virgin Islands,Prospera Ocean International,Prospera Ocean International,British Virgin Islands,Chittagong,Bangladesh,2021-08-01,,,
8504492,QING YUAN YU 013,Fishing Vessel,619,,1985,China,,Qingdao Furui Fisheries Co Ltd,China,Qingdao Furui Fisheries Co Ltd,Qingdao Furui Fisheries Co Ltd,China,Unknown,China,2021-08-01,,,
8687414,PING TAI RONG 303,Fishing Vessel,525,,1999,China ,,Pingtairong Ocean Fishery,China ,Pingtairong Ocean Fishery,Pingtairong Ocean Fishery,China ,Unknown,China ,2021-08-01,,,
7223223,MAVIGATOR,Fishing Vessel,1779,,1973,Guinea-Bissau,,Enoksen Seafood A/S,Denmark,Enoksen Seafood A/S,Enoksen Seafood A/S,Denmark,Liepaja,Latvia,2021-08-01,,,
9212369,RISA,Chemical/Products Tanker,28246,9820.0,2000,Liberia,,IMS SA,Greece,IMS SA,Palm Tree Marine Inc,Liberia,Chittagong,Bangladesh,2021-08-01,,,
9213325,EVRETI,Crude Oil Tanker,62385,18921.0,2002,Panama,,Monte Nero Maritime,Greece,Monte Nero Management SA,Sagitta Shipping Co SA,Panama,Chittagong,Bangladesh,2021-08-01,,,
8313556,ARIA,Crude/Oil Products Tanker,2207,1392.0,1984,Togo,Greece,Sekavin,Greece,Sekavin Replenishment Station,Vistagi Shipping Co,Greece,Aliaga,Turkey,2021-08-01,,,
9154294,SHUN SHENG,Molten Sulphur Tanker,10584,6287.0,1999,Sierra Leone,,Earn Rich HK Trading Ltd,Hong Kong,Earn Rich HK Trading Ltd,Earn Rich HK Trading Ltd,Hong Kong   ,Chittagong,Bangladesh,2021-08-01,,,
8810401,UNICOM 8,General Cargo Ship,2561,1380.0,1989,Panama,,Hongkong Shun Tong Shipping Co,Hong Kong,Hongkong Shun Tong Shipping Co,Hongkong Shun Tong Shipping Co,Hong Kong   ,Chittagong,Bangladesh,2021-08-01,,,
9140463,SHINE,Chemical/Products Tanker,4744,2556.0,1996,St Kitts & Nevis,Tuvalu,Medusa Tankers Ltd,Hong Kong,Medusa Tankers Ltd,Medusa Tankers Ltd,Hong Kong,Alang,India,2021-08-01,,,
9116216,SEAL,Products Tanker,4815,2592.0,1995,St Kitts & Nevis,Panama,Zhong Fu International,Hong Kong   ,Zhong Fu International,Zhong Fu International,Hong Kong   ,Alang,India,2021-08-01,,,
8308513,ALBATROSS 07,Anchor Handling Tug Supply,1310,1241.0,1985,India,,Albatross Marine Services,India,Albatross Marine Services,Albatross Shipping Agencies,India,Alang,India,2021-08-01,,,
8218287,OFFSHORE HUNTER,Offshore Tug/Supply Ship,815,773.0,1983,India,,Raj Shipping Agencies Ltd,India,Raj Shipping Agencies Ltd,Raj Shipping Agencies Ltd,India,Alang,India,2021-08-01,,,
9379002,TAG-7,Anchor Handling Tug Supply,1906,1808.0,2010,St Kitts & Nevis,India,Tag Offshore Ltd,India,Tag Offshore Ltd,Tag Offshore Ltd,India,Alang,India,2021-08-01,,,
9233313,OCEANIA,Crude Oil Tanker,57683,16099.0,2002,Indonesia,,Buana Lintas Lautan Tbk PT,Indonesia,Gemilang Bina Lintas Tirta PT,Citrine Maritime PT,Indonesia,Chittagong,Bangladesh,2021-08-01,,,
9019547,CATUR SAMUDRA,Products Tanker,4437,2254.0,1994,Indonesia,,Maxima Maritima Indonesia PT,Indonesia,Maxima Maritima Indonesia PT,Maxima Maritima Indonesia PT,Indonesia,Chittagong,Bangladesh,2021-08-01,,,
8223775,GENKAI,Passenger/Ro-Ro Ship (Vehicles),675,1180.0,1983,Sierra Leone,,Marukichi Commerce Co Ltd,Japan,Marukichi Commerce Co Ltd,Orient Star Lingyun SA,Panama,Chittagong,Bangladesh,2021-08-01,,,
9003964,PRETTY HANA,Chemical/Products Tanker,741,605.0,1990,Korea (South),,Hana Marine Co Ltd,Korea (South),Hana Marine Co Ltd,Hana Marine Co Ltd,Korea (South),Busan,Korea (South),2021-08-01,,,
8609785,NH88,Fishing Vessel,585,,1986,Unknown,,Nam Hae Trading,Korea (South),Nam Hae Trading,Nam Hae Trading,Korea (South),Mokpo,Korea (South),2021-08-01,,,
9157557,SAEHAN CAPELLA,LPG Tanker,3050,2100.0,1997,Korea (South),,Saehan Marine Co Ltd,Korea (South),Saehan Marine Co Ltd,Saehan Marine Co Ltd,Korea (South),Chittagong,Bangladesh,2021-08-01,,,
8013950,BALTIC ENERGY,LNG Tanker,97395,29531.0,1983,Marshall Islands,,Sinokor Merchant Marine Co Ltd,Korea (South),Sinokor Maritime Co Ltd,Haoda International Ship Lease,Hong Kong,Chittagong,Bangladesh,2021-08-01,,,
8325353,VEGA,Fish Factory Ship,3816,3190.0,1984,Cameroon,,INOK NV,Monaco,Pescado Ltd,Pescado Ltd,St Vincent & The Grenadines,Alang,India,2021-08-01,,,
9171747,SEA PANTHER,Anchor Handling Tug Supply,2556,,1999,Cyprus,,Solstad Offshore ASA,Norway,Deep Sea Supply Plc,Solstad Rederi AS,Norway,Feda,Norway,2021-08-01,,,
8919051,STOLT SELJE,Chemical/Products Tanker,22415,11218.0,1993,Liberia,,Stolt-Nielsen Norway AS,Norway,Stolt Tankers BV,Stolt Selje BV,Netherlands,Alang,India,2021-08-01,,,
9083172,GSP LICORN,Offshore Tug/Supply Ship,1289,1276.0,1995,Malta,,GSP,Romania,GSP Offshore Srl,GSP Licorn Shipping Ltd,Malta,Aliaga,Turkey,2021-08-01,,,
8849593,ANDREY ARTEMENKO,General Cargo Ship,2193,1016.0,1987,Mongolia,Russia,CSPS LLC,Russia,CSPS LLC,CSPS LLC,Russia,Chittagong,Bangladesh,2021-08-01,,,
8729200,KOOPERATOR,Fish Carrier,683,727.0,1989,Russia,,Dalryba JSC,Russia,Dalryba JSC,Dalryba JSC,Russia,Busan,Korea (South),2021-08-01,,,
8129620,PALLADIY,Products Tanker,5191,3131.0,1984,Mongolia,Russia,Far Trans Co Ltd,Russia,Far Trans Co Ltd,Far Trans Co Ltd,Russia,Chittagong,Bangladesh,2021-08-01,,,
8217506,ASGARD,Fishing Vessel,820,,1983,Russia,,I-Roop Ltd,Russia,I-Roop Ltd,I-Roop Ltd,Russia,Busan,Korea (South),2021-08-01,,,
8724705,LARK,General Cargo Ship,947,734.0,1988,Mongolia,Togo,Jessy Shipping Co Ltd,Russia,Jessy Shipping Co Ltd,Avant Shipping SA,Panama,Chittagong,Bangladesh,2021-08-01,,,
7626865,QATAR SADIQ 2,General Cargo Ship,1980,1263.0,1977,Panama,,Al Balha Trading & Marketing,Saudi Arabia,Al Balha Trading & Marketing,Al Balha Trading & Marketing,Saudi Arabia,Gadani,Pakistan,2021-08-01,,,
8130095,TRINITY SUPPORTER,Work/Repair Vessel,13593,8176.0,1982,Mongolia,Indonesia,Trinity Offshore Pte Ltd,Singapore,Trinity Offshore Pte Ltd,Trinity Offshore Services PT,Indonesia,Chittagong,Bangladesh,2021-08-01,,,
6620773,WORLD,Passenger Ship,12764,8056.0,1967,St Kitts & Nevis,Panama,Universal Shipmanagement,Singapore,Universal Shipmanagement,Jackston Maritime Ltd,British Virgin Islands,Alang,India,2021-08-01,,,
8402436,HONG YUN 9,Products Tanker,3055,1898.0,1983,Sierra Leone,Mongolia,Golden Lamp Stand Shipping,Taiwan,Golden Lamp Stand Shipping,Golden Sun Ocean Co Ltd,Hong Kong   ,Chittagong,Bangladesh,2021-08-01,,,
9114866,MOON SPRING,Products Tanker,5237,2765.0,1996,Panama,,Mega Glory Holdings Ltd-BVI,Taiwan,Mega Glory Holdings Ltd-BVI,Excel Sail International Ltd,Samoa,Chittagong,Bangladesh,2021-08-01,,,
9081083,JETSTAR,Chemical/Products Tanker,5971,2950.0,1994,Palau,Panama,Wills International Co Ltd,Taiwan,Wills International Co Ltd,Gemmy Marine SA,Panama,Chittagong,Bangladesh,2021-08-01,,,
8105569,APS 7,Products Tanker ,697,690.0,1981,Thailand,,AP Marine Co Ltd,Thailand,AP Marine Co Ltd,AP Marine Co Ltd,Thailand,Chittagong,Bangladesh,2021-08-01,,,
5296795,PK MARINE 3,Refrigerated Cargo Ship,1289,1281.0,1962,Cameroon,Unknown,Chainavee Coldstorage Co Ltd,Thailand,Chainavee Coldstorage Co Ltd,Brilliant Reefer Line SA,Panama,Chittagong,Bangladesh,2021-08-01,,,
7637591,PK MARINE 4,Refrigerated Cargo Ship,2989,1748.0,1980,Cameroon,Unknown,Chainavee Coldstorage Co Ltd,Thailand,Chainavee Coldstorage Co Ltd,Chainavee Reefer Line SA,Panama,Chittagong,Bangladesh,2021-08-01,,,
9118393,G STAR,"FSO, Oil",164371,42686.0,1997,St Kitts & Nevis,Thailand,Prima Marine PCL,Thailand,Nathalin Shipping Pte Ltd,Prima Marine PCL,Thailand,Chittagong,Bangladesh,2021-08-01,,,
7727102,CELTIC ICE,Refrigerated Cargo Ship,2285,1445.0,1979,Thailand,,Silver Sea Marine Co Ltd,Thailand,Silver Sea Marine Co Ltd,Silver Sea Marine Co Ltd,Thailand,Chittagong,Bangladesh,2021-08-01,,,
8914776,PARSA,Chemical Tanker,4988,3100.0,1991,Turkey,,Beykim Petrolculuk Gemi,Turkey,Beykar Denizcilik Gemi,Beykim Petrolculuk Gemi,Turkey,Alang,India,2021-08-01,,,
8701935,NABIHA 1,Bulk Carrier,8897,4903.0,1990,Guyana,Panama,RoyalMar Shipping & Ship,Turkey,RoyalMar Shipping & Ship,Blodwen Marine SA,Marshall Islands,Gadani,Pakistan,2021-08-01,,,
9225328,ASTON I,Chemical/Products Tanker,23680,8273.0,2001,Panama,,Al Bear Al Aswad Diesel,United Arab Emirates,Al Bear Al Aswad Diesel,Black Pearl Shipping Fleet Inc,Marshall Islands,Gadani,Pakistan,2021-08-01,,,
6904595,SOLAND,Platform Supply Ship,679,,1969,St Kitts & Nevis,Palau,Carona Corp Ltd,United Arab Emirates,Carona Corp Ltd,Carona Corp Ltd,United Arab Emirates,Unknown,Unknown,2021-08-01,,,
9113367,CHIRON,Products Tanker,21367,9041.0,1996,Comoros,,Etihad Engineering & Marine,United Arab Emirates,Etihad Engineering & Marine,Etihad Engineering & Marine,United Arab Emirates,Gadani,Pakistan,2021-08-01,,,
9253478,PIRAMERD,Products Tanker,28552,9375.0,2003,Panama,,Pentacontinent DMCC,United Arab Emirates,Pentacontinent DMCC,Piramerd Inc,Panama,Gadani,Pakistan,2021-08-01,,,
8817722,ARCO BECK,Trailing Suction Hopper Dredger,3325,,1989,United Kingdom,,Hanson Aggregates Marine Ltd,United Kingdom,Hanson Aggregates Marine Ltd,Hanson Marine Ltd,United Kingdom,Ghent,Belgium,2021-08-01,,,
9015905,EAGLE 2,Diving Support Vessel,9556,8324.0,1997,St Kitts & Nevis,Liberia,Subsea 7 SA,United Kingdom,Subsea 7 Int'l Contracting Ltd,Subsea 7 Shipping Ltd,Isle of Man,Alang,India,2021-08-01,,,
8802014,THORN 1,Refrigerated Cargo Ship,12887,7837.0,1991,Gabon,Liberia,Del Monte Fresh Produce,United States Of America,Horn-Linie GmbH & Co,Horncliff Shipping Corp,Cayman Islands,Alang,India,2021-08-01,,,
8513467,DOLE CALIFORNIA,Container Ship (Fully Cellular),16488,8448.0,1989,Bahamas,,Dole Food Co,United States Of America,Tropical Fruit Americas LLC,Ventura Trading Ltd,Bermuda,Alang,India,2021-08-01,,,
8513479,DOLE ECUADOR,Container Ship (Fully Cellular),16488,8461.0,1989,Bahamas,,Dole Food Co,United States Of America,Tropical Fruit Americas LLC,Ventura Trading Ltd,Bermuda,Alang,India,2021-08-01,,,
9422990,LILA DUBAI,Crude Oil Tanker,54916,18055.0,2010,Liberia,,Global Marketing Systems,United States Of America,Aria Seaway Ltd,Aria Seaway Ltd,Liberia,Gadani,Pakistan,2021-08-01,,,
9275725,HELLAS,Crude Oil Tanker,40038,13213.0,2003,Comoros,Marshall Islands,International Seaways Inc,United States Of America,Panamax International LLC,Cabo Hellas Ltd,Marshall Islands,Alang,India,2021-08-01,,,
9232606,JADE,Crude Oil Tanker,40343,13139.0,2002,St Kitts & Nevis,Marshall Islands,International Seaways Inc,United States Of America,Panamax International LLC,Jademar Ltd,Marshall Islands,Alang,India,2021-08-01,,,
9031739,SKY,Chemical/Products Tanker,4954,2564.0,1991,St Kitts & Nevis,Panama,Unknown,Unknown,Choice Shipping Co Ltd,Choice Shipping Co Ltd,Seychelles,Alang,India,2021-08-01,,,
9129952,DAMAS,Chemical/Products Tanker,28357,9716.0,1998,Bahamas,,Unknown,Unknown,Legacy Ship Management FZE,Damas Shipping Ltd,Marshall Islands,Gadani,Pakistan,2021-08-01,,,
9119737,JEAN,Chemical/Products Tanker,6270,3225.0,1996,St Kitts & Nevis,Belize,Unknown,Unknown,Proud Ocean Shipping Mgmt,Super Star Trading Ltd,Samoa,Alang,India,2021-08-01,,,
8877423,HELLENIC SEA,Chemical/Products Tanker,1358,931.0,1994,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Gadani,Pakistan,2021-08-01,,,
9169536,BAY,Crude Oil Tanker,57943,16701.0,1997,St Kitts & Nevis,Panama,Unknown,Unknown,Silver Star Ship Management,Alphabet Maritime Inc,Seychelles,Chittagong,Bangladesh,2021-08-01,,,
9053218,EVER EXUBERANT,Chemical/Products Tanker,11423,5994.0,1994,Sierra Leone,,Forever Win Enterprise Co Ltd,Anguilla,Forever Win Enterprise Co Ltd,Forever Win Enterprise Co Ltd,Anguilla,Chittagong,Bangladesh,2021-09-01,,,
9054949,GOLDEN SAILING,General Cargo Ship,2116,1545.0,1992,Sierra Leone,,Future Smart Ltd,Anguilla,Future Smart Ltd,Future Smart Ltd,Anguilla,Chittagong,Bangladesh,2021-09-01,,,
8504882,PIRI,"Bulk Carrier, Laker Only",23271,10232.0,1986,Sierra Leone,Canada,Algoma Central Corp,Canada,Algoma Central Corp,Algoma Central Corp,Canada,Aliaga,Turkey,2021-09-01,,,
7816874,BLUEFORT,Accommodation Ship,17914,10120.0,1979,Marshall Islands,,Bridgemans Services Group LP,Canada,Tschudi Ship Management AS,Bluefort Holdings LP,Canada,Alang,India,2021-09-01,,,
8353398,PU HAI 216,General Cargo Ship,3814,913.0,2005,China,,China COSCO Shipping Corp Ltd,China,Shanghai Puhai Shipping Co Ltd,Shanghai Puhai Shipping Co Ltd,China,Unknown,China,2021-09-01,,,
9167710,ANGEL 1,Chemical/Products Tanker,6332,3229.0,1998,St Kitts & Nevis,Panama,China Govt,China,Winson Oil Bunkering Pte Ltd,Success Direct Ltd,British Virgin Islands,Alang,India,2021-09-01,,,
9040039,JIN FU XING 602,Chemical Tanker,3705,,1992,China,,Ningbo Silver Star Marine,China,Ningbo Silver Star Marine,Ningbo Silver Star Marine,China,Unknown,China,2021-09-01,,,
9259173,AFRAMAX RIVER,Crude Oil Tanker,57943,16740.0,2002,Panama,,Hellenic Tankers Co Ltd,Greece,Aframax River Marine Co,Aframax River Marine Co,Marshall Islands,Chittagong,Bangladesh,2021-09-01,,,
9208100,TANGO,Chemical/Products Tanker,23235,8636.0,2000,Liberia,,IMS SA,Greece,IMS SA,Cory Management Services Corp,Liberia,Chittagong,Bangladesh,2021-09-01,,,
8203816,XIN YU,Refrigerated Cargo Ship,4677,3221.0,1982,Palau,Mongolia,Fangwei Shipping Ltd,Hong Kong,Fangwei Shipping Ltd,Fangwei Shipping Ltd,Hong Kong,Chittagong,Bangladesh,2021-09-01,,,
8401963,THOR I,Anchor Handling Tug Supply,2887,682.0,1986,Panama,Denmark,Star Matrix Ltd,Hong Kong,Hermes Maritime Services Pvt,Star Matrix Ltd,Hong Kong,Chittagong,Bangladesh,2021-09-01,,,
9123348,EGAN,Chemical/Products Tanker,5979,3292.0,1996,Niue,India,Seven Islands Shipping Ltd,India,Seven Islands Shipping Ltd,Seven Islands Shipping Ltd,India,Alang,India,2021-09-01,,,
8652990,SHREE KRISHNA-VIII,General Cargo Ship,1520,594.0,2010,India,,Shree Krishna Group,India,Shree Krishna Stevedores,Shree Krishna Stevedores,India,Unknown,Unknown,2021-09-01,,,
9248203,BON,Chemical/Products Tanker,8253,4450.0,2001,St Kitts & Nevis,India,Zen Shipping & Port India Pvt,India,Zen Shipping & Port India Pvt,Zen Shipping & Port India Pvt,India,Alang,India,2021-09-01,,,
9230854,EXPLORINDO 1,Chemical/Products Tanker,23784,8554.0,2001,Indonesia,,Buana Lintas Lautan Tbk PT,Indonesia,Gemilang Bina Lintas Tirta PT,Pearl Maritime PT,Indonesia,Chittagong,Bangladesh,2021-09-01,,,
8403117,TANIMBAR BAHARI,General Cargo Ship,551,,1984,Indonesia,,Citrabaru Adinusantara PT,Indonesia,Citrabaru Adinusantara PT,Citrabaru Adinusantara PT,Indonesia,Unknown,Unknown,2021-09-01,,,
9061887,KARUNIA,Bulk Carrier,35887,9615.0,1993,Indonesia,,Jaya Samudra Karunia Shipping,Indonesia,Oldendorff Carriers GmbH & Co,JSK Abadi Lines PT,Indonesia,Chittagong,Bangladesh,2021-09-01,,,
7804572,HARAPAN SEJATI,General Cargo Ship,3171,,1978,Indonesia,,Nusantara Sejati,Indonesia,Putra Sejati,Putra Sejati,Indonesia,Surabaya,Indonesia,2021-09-01,,,
9171838,SINGAPURA,Crude Oil Tanker,63217,17707.0,1999,Comoros,Indonesia,Selebes Sarana PT,Indonesia,Selebes Sarana PT,Selebes Sarana PT,Indonesia,Chittagong,Bangladesh,2021-09-01,,,
9044499,ION,Crude/Oil Products Tanker,22560,8519.0,1993,St Kitts & Nevis,Indonesia,Waruna Nusa Sentana PT,Indonesia,Waruna Nusa Sentana PT,Waruna Nusa Sentana PT,Indonesia,Chittagong,Bangladesh,2021-09-01,,,
8753902,REO,"Drilling Rig, jack up",6377,18060.0,1980,St Kitts & Nevis,Portugal,SAIPEM SpA,Italy,SAIPEM Spa,SAIPEM Portugal Comercio,Madeira,Alang,India,2021-09-01,,,
8756497,RIG MARIA,"Drilling Rig, jack up",6289,9263.0,1976,Comoros,Liberia,Japan Drilling Co Ltd,Japan,Gulf Drilling International,Gulf Drilling International,Qatar,Alang,India,2021-09-01,,,
9158991,DAEHO SUNSHINE,Chemical/Products Tanker,5979,3318.0,1997,Korea (South),,DaeHo Shipping Co Ltd-Seoul,Korea (South),DaeHo Shipping Co Ltd-Busan,DaeHo Shipping Co Ltd-Busan,Korea (South),Alang,India,2021-09-01,,,
9030840,TERI F,LNG Tanker,86205,26915.0,1997,Niue,Malaysia,PETRONAS,Malaysia,MISC Bhd,Puteri Firus Sdn Bhd,Malaysia,Chittagong,Bangladesh,2021-09-01,,,
8000616,LAYA,Shuttle Tanker,42575,15363.0,1981,Malaysia,,TH Heavy Engineering Bhd,Malaysia,THHE Fabricators Sdn Bhd,Floatech L Ltd,Malaysia,Gadani,Pakistan,2021-09-01,,,
9169627,SALLIE KNUTSEN,Shuttle Tanker,87827,25553.0,1999,Isle Of Man,,Knutsen OAS Shipping AS,Norway,Knutsen Shuttle Tankers Pool,Luky KS,Norway,Alang,India,2021-09-01,,,
9160619,LOCH RANNOCH,Shuttle Tanker,75526,26221.0,1998,United Kingdom,,Knutsen OAS Shipping AS,Norway,KNOT Management AS,Knutsen Shuttle Tankers 2,Norway,Aliaga,Turkey,2021-09-01,,,
